filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
216.txt,1,31,10,27,8,34,11,28,8,0.82,0.29,0.32,0.17,0.50,0.50,31,31,31,31,0.91,0.91,3.76,5.32,0.97,58.46,0.96,0.94,16.06,2.83,0.61,1.00,0.11,0.04,0.14
217.txt,1,52,14,46,11,85,31,66,18,0.78,0.27,0.27,0.07,0.13,0.26,52,37,34.30,37.30,0.61,0.74,3.99,5.64,0.89,17.44,0.70,0.73,16.13,2.84,0.33,0.61,0.12,0.05,0.17
218.txt,1,39,7,36,6,56,9,49,7,0.88,0.14,0.18,0.07,0.14,0.27,39,34,35.80,34.40,0.70,0.68,3.69,5.21,0.91,19.45,0.73,0.75,15.75,2.81,0.43,0.75,0.12,0.06,0.18
219.txt,1,27,4,24,3,38,5,31,3,0.82,0.10,0.15,0.00,0.00,0.00,27,27,27,27,0.71,0.71,3.10,4.38,0.91,16.82,0.77,0.86,10.29,2.27,0.39,0.67,0.23,0.10,0.32
220.txt,1,35,6,30,5,48,7,38,5,0.79,0.13,0.17,0.00,0.00,0.00,35,35,35,35,0.73,0.73,3.57,5.05,0.92,20.61,0.79,0.78,10.89,2.33,0.37,0.80,0.11,0.11,0.21
221.txt,1,36,6,33,5,55,6,45,5,0.82,0.11,0.17,0.04,0.04,0.15,36,35,33.80,33.70,0.65,0.70,3.43,4.85,0.89,16.46,0.73,0.74,12.57,2.51,0.38,0.67,0.16,0.07,0.22
222.txt,1,45,10,42,8,59,11,56,9,0.95,0.16,0.22,0.06,0.12,0.25,45,38,39.40,36.80,0.76,0.76,4.14,5.86,0.93,26.66,0.75,0.72,16.53,2.88,0.41,0.80,0.09,0.12,0.21
224.txt,1,47,6,42,5,65,6,55,5,0.85,0.09,0.13,0.03,0.03,0.12,47,39,38.50,38.70,0.72,0.78,4.12,5.83,0.92,23.34,0.76,0.76,18.94,3.08,0.45,0.80,0.07,0.09,0.16
225.txt,1,39,5,36,4,60,12,49,4,0.82,0.08,0.13,0.05,0.05,0.15,39,32,33.80,33.20,0.65,0.64,3.56,5.03,0.89,16.90,0.73,0.86,16.41,2.86,0.39,0.64,0.16,0.04,0.20
226.txt,1,29,7,23,3,38,11,28,5,0.74,0.18,0.24,0.00,0.00,0.00,29,29,29,29,0.76,0.76,3.33,4.70,0.93,21.26,0.82,0.82,7.36,1.92,0.32,0.71,0.14,0.18,0.32
228.txt,1,41,7,36,6,56,7,45,6,0.80,0.13,0.17,0.11,0.32,0.40,41,37,37.20,36.80,0.73,0.74,3.87,5.48,0.92,22.57,0.80,0.82,18.89,3.07,0.51,0.64,0.09,0.04,0.13
230.txt,1,50,9,47,8,70,12,64,9,0.91,0.14,0.18,0.11,0.56,0.53,50,38,37.90,39.80,0.71,0.76,4.23,5.98,0.92,23.30,0.73,0.69,21.36,3.27,0.48,0.80,0.06,0.06,0.12
232.txt,1,38,5,34,4,52,8,41,4,0.79,0.10,0.13,0.00,0.00,0.00,38,38,36.80,37.40,0.73,0.76,3.73,5.27,0.92,21.62,0.83,0.87,17.39,2.95,0.49,0.64,0.05,0.12,0.17
233.txt,1,44,9,40,8,65,10,60,8,0.92,0.13,0.20,0.05,0.10,0.22,44,36,36.90,35.40,0.68,0.72,3.86,5.46,0.91,19.39,0.67,0.65,16.90,2.91,0.43,0.50,0.10,0.07,0.17
234.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
