subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
842,1,67,11,44,11,113,20,67,20,0.59,0.30,0.16,0.14,0.29,0.38,67,34,37.30,38.90,0.59,0.76,4.46,6.30,0.89,18.57,0.66,0.71,7.14,1.89,0.15,0.67,0.15,0.10,0.25
740,1,40,5,23,5,60,6,30,6,0.50,0.20,0.12,0.12,0.12,0.25,40,32,34.70,34.00,0.67,0.64,3.65,5.16,0.90,17.96,0.77,0.88,6.12,1.75,0.23,0.62,0.23,0.03,0.27
571,1,45,8,29,8,89,9,48,9,0.54,0.19,0.18,0.17,0.33,0.41,45,34,32.50,34.60,0.51,0.68,3.37,4.77,0.85,12.83,0.60,0.67,5.33,1.63,0.17,0.48,0.15,0.02,0.17
886,1,72,14,46,12,151,14,83,12,0.55,0.14,0.19,0.12,0.38,0.43,72,34,35.30,38.20,0.48,0.72,4.14,5.86,0.85,14.76,0.55,0.58,8.17,2.02,0.17,0.56,0.11,0.08,0.19
665,1,87,14,58,13,176,21,95,20,0.54,0.21,0.16,0.22,0.89,0.67,87,33,35.80,35.80,0.49,0.73,4.64,6.56,0.86,16.48,0.61,0.72,9.39,2.17,0.14,0.65,0.15,0.08,0.23
674,1,57,7,36,6,106,9,54,7,0.51,0.13,0.12,0.00,0.00,0.00,57,30,35.30,33.20,0.54,0.67,3.91,5.54,0.87,15.22,0.67,0.80,6.40,1.79,0.15,0.55,0.13,0.09,0.22
906,1,80,13,47,12,162,15,79,13,0.49,0.16,0.16,0.13,0.27,0.37,80,27,36.80,35.70,0.49,0.66,4.44,6.29,0.86,15.93,0.59,0.47,3.27,1.28,0.09,0.64,0.18,0.06,0.24
847,1,111,16,73,16,255,19,121,19,0.47,0.16,0.14,0.04,0.04,0.15,111,34,37.90,38.80,0.44,0.74,4.92,6.95,0.85,16.03,0.60,0.74,12.57,2.51,0.14,0.56,0.15,0.07,0.22
890,1,98,15,67,14,192,20,106,19,0.55,0.18,0.15,0.18,0.89,0.67,98,36,36.90,37.80,0.51,0.76,5.00,7.07,0.87,17.85,0.63,0.64,11.57,2.41,0.17,0.60,0.14,0.09,0.24
854,1,52,11,34,11,97,14,54,14,0.56,0.26,0.21,0.06,0.06,0.18,52,28,34.70,34.90,0.54,0.56,3.73,5.28,0.86,14.58,0.63,0.62,6.25,1.77,0.19,0.70,0.11,0.11,0.22
881,1,164,39,122,38,379,57,201,56,0.53,0.28,0.24,0.11,0.57,0.53,164,37,39.60,38.20,0.43,0.75,5.96,8.42,0.86,18.28,0.61,0.64,17.82,2.98,0.14,0.61,0.14,0.09,0.23
732,1,77,11,50,10,193,19,92,17,0.48,0.18,0.14,0.08,0.15,0.28,77,35,37.20,34.20,0.40,0.70,3.92,5.54,0.83,13.09,0.54,0.46,5.54,1.66,0.13,0.58,0.13,0.08,0.21
907,1,92,23,70,23,188,27,110,27,0.59,0.25,0.25,0.18,0.73,0.60,92,35,36.60,37.90,0.49,0.73,4.74,6.71,0.86,16.66,0.64,0.68,10.23,2.26,0.14,0.61,0.17,0.07,0.25
862,1,107,15,70,14,225,27,128,26,0.57,0.20,0.14,0.08,0.16,0.28,107,40,37.80,41.30,0.48,0.82,5.04,7.13,0.86,17.14,0.55,0.68,11.56,2.40,0.13,0.49,0.15,0.09,0.24
762,1,106,18,73,17,192,20,103,19,0.54,0.18,0.17,0.12,0.35,0.42,106,40,38.90,39.30,0.55,0.81,5.41,7.65,0.89,20.21,0.71,0.77,15.38,2.77,0.19,0.63,0.15,0.09,0.23
909,1,51,8,30,7,102,11,52,10,0.51,0.19,0.16,0.12,0.24,0.34,51,31,33.40,33.10,0.50,0.65,3.57,5.05,0.85,13.40,0.58,0.53,4.76,1.54,0.17,0.60,0.06,0.12,0.17
715,1,84,18,53,17,159,25,83,24,0.52,0.29,0.21,0.23,1.14,0.75,84,39,37.60,39.50,0.53,0.78,4.71,6.66,0.87,17.49,0.64,0.77,13.14,2.56,0.20,0.62,0.06,0.08,0.14
884,1,114,32,84,30,243,44,134,40,0.55,0.30,0.28,0.24,1.44,0.85,114,37,37.90,35.30,0.47,0.72,5.17,7.31,0.86,17.31,0.63,0.60,9.00,2.12,0.11,0.61,0.19,0.09,0.28
709,1,46,4,30,4,67,5,42,5,0.63,0.12,0.09,0.09,0.09,0.21,46,39,37.00,39.50,0.69,0.78,3.97,5.62,0.91,20.42,0.71,0.73,5.82,1.71,0.19,0.71,0.17,0.02,0.19
800,1,50,9,31,8,100,14,54,11,0.54,0.20,0.18,0.11,0.21,0.32,50,32,32.10,30.50,0.50,0.70,3.54,5.00,0.85,13.29,0.57,0.58,6.37,1.78,0.20,0.45,0.11,0.07,0.19
628,1,45,8,27,7,69,10,33,8,0.48,0.24,0.18,0.17,0.17,0.29,45,35,35.60,36.60,0.65,0.70,3.83,5.42,0.90,18.21,0.82,0.67,2.67,1.15,0.12,0.78,0.21,0.06,0.27
871,1,59,11,40,11,99,13,52,13,0.53,0.25,0.19,0.21,0.64,0.57,59,37,36.60,37.70,0.60,0.74,4.19,5.93,0.89,17.72,0.77,0.86,10.29,2.27,0.23,0.71,0.17,0.10,0.27
700,1,123,20,96,20,247,28,152,28,0.62,0.18,0.16,0.08,0.25,0.35,123,38,40.60,40.00,0.50,0.79,5.53,7.83,0.87,18.91,0.63,0.64,14.69,2.71,0.15,0.56,0.17,0.09,0.26
594,1,51,7,31,7,94,9,50,9,0.53,0.18,0.14,0.07,0.07,0.19,51,34,35.10,32.50,0.54,0.68,3.72,5.26,0.87,14.66,0.62,0.64,5.79,1.70,0.18,0.57,0.10,0.08,0.18
611,1,77,26,52,25,136,32,72,31,0.53,0.43,0.34,0.50,2.50,1.12,77,40,38.20,39.70,0.57,0.80,4.67,6.60,0.88,18.43,0.72,0.80,6.40,1.79,0.11,0.71,0.15,0.07,0.22
687,1,94,28,69,28,219,35,123,35,0.56,0.28,0.30,0.32,3.23,1.27,94,35,36.40,34.30,0.43,0.69,4.49,6.35,0.84,14.91,0.56,0.68,14.23,2.67,0.17,0.52,0.13,0.06,0.19
527,1,69,8,48,8,125,12,72,12,0.58,0.17,0.12,0.11,0.21,0.32,69,33,37.60,37.30,0.55,0.73,4.36,6.17,0.88,17.04,0.67,0.74,10.32,2.27,0.19,0.60,0.17,0.12,0.29
660,1,59,7,37,7,103,9,56,9,0.54,0.16,0.12,0.14,0.29,0.38,59,40,36.50,36.40,0.57,0.76,4.11,5.81,0.88,16.74,0.66,0.71,7.14,1.89,0.18,0.69,0.12,0.04,0.16
576,1,43,5,27,5,72,6,39,6,0.54,0.15,0.12,0.12,0.12,0.25,43,31,34.20,35.40,0.60,0.62,3.58,5.07,0.88,15.41,0.69,1.00,8.00,2.00,0.21,0.55,0.13,0.08,0.21
775,1,87,17,59,17,205,23,120,23,0.59,0.19,0.20,0.06,0.11,0.24,87,27,34.90,34.70,0.42,0.68,4.30,6.08,0.84,14.36,0.49,0.46,7.31,1.91,0.13,0.47,0.10,0.09,0.19
838,1,47,7,30,7,75,7,39,7,0.52,0.18,0.15,0.17,0.33,0.41,47,37,36.20,33.60,0.63,0.74,3.84,5.43,0.89,17.32,0.77,0.83,8.33,2.04,0.26,0.77,0.21,0.05,0.26
542,1,16,1,10,1,22,1,12,1,0.55,0.08,0.06,0.00,0.00,0.00,16,16,16,16,0.73,0.73,2.41,3.41,0.90,13.03,0.83,0.67,1.33,0.82,0.17,0.86,0.17,0.00,0.17
675,1,86,12,50,11,211,23,109,22,0.52,0.20,0.14,0.06,0.12,0.25,86,33,36.20,35.90,0.41,0.68,4.19,5.92,0.83,13.86,0.46,0.52,8.76,2.09,0.16,0.44,0.07,0.06,0.13
551,1,74,17,50,17,149,24,81,24,0.54,0.30,0.23,0.19,0.76,0.62,74,37,37.80,37.10,0.50,0.79,4.29,6.06,0.86,15.54,0.62,0.71,10.71,2.31,0.19,0.56,0.12,0.07,0.20
820,1,108,11,75,10,237,15,133,14,0.56,0.11,0.10,0.10,0.31,0.39,108,36,37.70,39.00,0.46,0.77,4.96,7.02,0.86,16.52,0.56,0.62,11.17,2.36,0.14,0.56,0.13,0.08,0.20
840,1,32,5,16,5,40,5,18,5,0.45,0.28,0.16,0.25,0.25,0.35,32,32,32,32,0.80,0.80,3.58,5.06,0.94,26.48,0.89,0.75,2.25,1.06,0.17,0.91,0.17,0.00,0.17
758,1,30,6,19,6,39,8,24,8,0.62,0.33,0.20,0.25,0.25,0.35,30,30,30,30,0.77,0.77,3.40,4.80,0.93,22.22,0.79,1.00,4.00,1.41,0.17,0.64,0.25,0.08,0.33
596,1,59,10,39,9,102,15,56,14,0.55,0.25,0.17,0.15,0.31,0.39,59,36,35.30,35.70,0.58,0.75,4.13,5.84,0.88,16.97,0.70,0.85,9.31,2.16,0.20,0.56,0.18,0.05,0.23
878,1,80,13,54,10,198,21,106,16,0.54,0.15,0.16,0.05,0.05,0.15,80,37,35.80,34.70,0.40,0.73,4.02,5.69,0.83,13.40,0.51,0.59,7.68,1.96,0.12,0.45,0.13,0.07,0.20
706,1,53,8,37,7,99,8,55,7,0.56,0.13,0.15,0.00,0.00,0.00,53,30,32.30,32.10,0.54,0.60,3.77,5.33,0.86,14.68,0.67,0.69,6.23,1.77,0.16,0.60,0.13,0.07,0.20
809,1,50,8,34,8,97,10,51,10,0.53,0.20,0.16,0.50,2.00,1.00,50,34,31.90,31.80,0.52,0.68,3.59,5.08,0.86,13.72,0.67,1.00,8.00,2.00,0.16,0.55,0.18,0.04,0.22
528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,1,87,10,55,9,202,14,101,13,0.50,0.13,0.11,0.15,0.45,0.47,87,35,34.80,33.30,0.43,0.69,4.33,6.12,0.84,14.53,0.54,0.70,9.80,2.21,0.14,0.45,0.12,0.07,0.19
874,1,80,22,56,22,149,32,85,31,0.57,0.36,0.28,0.11,0.22,0.33,80,39,38.60,39.50,0.54,0.79,4.63,6.55,0.88,17.49,0.66,0.78,10.89,2.33,0.16,0.63,0.19,0.05,0.24
561,1,38,4,28,4,72,6,48,6,0.67,0.12,0.11,0.00,0.00,0.00,38,31,32.10,32.30,0.53,0.62,3.17,4.48,0.85,12.43,0.58,0.50,3.00,1.22,0.12,0.69,0.21,0.08,0.29
735,1,37,6,21,6,51,6,28,6,0.55,0.21,0.16,0.40,0.80,0.63,37,37,36.60,36.60,0.73,0.74,3.66,5.18,0.92,20.92,0.75,1.00,5.00,1.58,0.18,0.62,0.14,0.11,0.25
796,1,40,6,24,6,84,9,45,9,0.54,0.20,0.15,0.17,0.33,0.41,40,28,29.40,27.10,0.48,0.56,3.09,4.36,0.83,11.49,0.53,0.58,4.08,1.43,0.16,0.43,0.13,0.04,0.18
605,1,47,8,32,8,96,13,55,13,0.57,0.24,0.17,0.00,0.00,0.00,47,25,30.60,31.10,0.49,0.50,3.39,4.80,0.84,12.67,0.58,0.60,5.40,1.64,0.16,0.54,0.09,0.07,0.16
739,1,77,12,46,12,150,20,74,20,0.49,0.27,0.16,0.17,0.33,0.41,77,39,37.60,38.80,0.51,0.76,4.45,6.29,0.87,16.35,0.62,0.92,10.08,2.25,0.15,0.51,0.15,0.09,0.24
760,1,69,12,43,12,151,17,77,17,0.51,0.22,0.17,0.11,0.22,0.33,69,35,34.30,34.90,0.46,0.70,3.97,5.62,0.84,13.96,0.56,0.56,5.56,1.67,0.13,0.51,0.14,0.04,0.18
860,1,34,3,21,3,81,4,39,4,0.48,0.10,0.09,0.00,0.00,0.00,34,23,25.90,24.60,0.42,0.46,2.67,3.78,0.80,9.66,0.54,0.47,3.27,1.28,0.18,0.50,0.13,0.05,0.18
816,1,63,11,40,11,112,16,59,16,0.53,0.27,0.17,0.08,0.08,0.20,63,37,36.70,37.90,0.56,0.74,4.21,5.95,0.88,16.81,0.68,0.69,6.23,1.77,0.15,0.75,0.20,0.00,0.20
824,1,63,15,45,13,102,16,61,14,0.60,0.23,0.24,0.17,0.50,0.50,63,35,37.80,37.40,0.62,0.76,4.41,6.24,0.90,19.28,0.74,0.89,14.22,2.67,0.26,0.62,0.18,0.05,0.23
578,1,84,19,51,18,174,26,85,25,0.49,0.29,0.23,0.16,0.47,0.49,84,33,38.70,37.00,0.48,0.70,4.50,6.37,0.86,15.87,0.60,0.79,11.84,2.43,0.18,0.50,0.13,0.07,0.20
711,1,133,28,99,27,241,32,137,31,0.57,0.23,0.21,0.12,0.62,0.56,133,45,41.20,40.90,0.55,0.81,6.06,8.57,0.89,21.98,0.72,0.72,21.02,3.24,0.21,0.70,0.19,0.09,0.28
633,1,103,16,68,16,202,25,110,25,0.54,0.23,0.16,0.23,1.14,0.75,103,42,38.00,37.60,0.51,0.79,5.12,7.25,0.87,18.17,0.62,0.64,8.91,2.11,0.13,0.64,0.14,0.06,0.20
752,1,84,9,54,9,179,13,99,13,0.55,0.13,0.11,0.00,0.00,0.00,84,32,37.10,36.10,0.47,0.73,4.44,6.28,0.85,15.45,0.55,0.62,8.05,2.01,0.13,0.47,0.12,0.08,0.20
899,1,67,10,42,9,122,13,61,11,0.50,0.18,0.15,0.00,0.00,0.00,67,37,35.60,38.90,0.55,0.79,4.29,6.07,0.88,16.72,0.69,0.77,7.69,1.96,0.16,0.59,0.13,0.13,0.26
513,1,45,5,25,5,89,6,39,6,0.44,0.15,0.11,0.21,0.64,0.57,45,30,30.10,31.30,0.51,0.60,3.37,4.77,0.85,12.83,0.64,0.71,7.14,1.89,0.26,0.44,0.10,0.08,0.18
639,1,51,11,33,11,79,12,43,12,0.54,0.28,0.22,0.12,0.12,0.25,51,36,36.60,36.70,0.65,0.72,4.06,5.74,0.90,18.95,0.77,0.88,6.12,1.75,0.16,0.71,0.16,0.07,0.23
826,1,73,15,53,14,165,20,96,19,0.58,0.20,0.21,0.17,0.50,0.50,73,34,36.50,34.30,0.44,0.71,4.02,5.68,0.84,13.88,0.55,0.72,9.39,2.17,0.14,0.56,0.16,0.05,0.21
922,1,78,15,54,14,161,22,84,21,0.52,0.25,0.19,0.13,0.27,0.37,78,30,35.90,36.10,0.48,0.69,4.35,6.15,0.86,15.47,0.64,0.67,6.67,1.83,0.12,0.63,0.17,0.10,0.26
