subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
334,1,44,5,40,4,83,10,67,4,0.81,0.06,0.11,0.03,0.03,0.12,44,34,31.50,32.10,0.53,0.68,3.42,4.83,0.86,13.36,0.60,0.62,14.30,2.67,0.34,0.59,0.09,0.03,0.12
336,1,54,9,48,8,89,15,70,9,0.79,0.13,0.17,0.00,0.00,0.00,54,35,36.70,38.30,0.61,0.70,4.05,5.72,0.89,17.51,0.69,0.66,13.78,2.62,0.30,0.64,0.10,0.09,0.19
337,1,66,12,60,11,119,28,93,18,0.78,0.19,0.18,0.02,0.02,0.09,66,38,37.40,35.70,0.55,0.75,4.28,6.05,0.88,16.83,0.65,0.68,25.79,3.59,0.41,0.52,0.05,0.04,0.10
339,1,54,8,50,6,123,16,99,8,0.80,0.08,0.15,0.00,0.00,0.00,54,31,31.40,30.10,0.44,0.59,3.44,4.87,0.83,12.22,0.51,0.49,11.26,2.37,0.23,0.50,0.08,0.04,0.12
340,1,41,5,36,2,83,8,63,3,0.76,0.05,0.12,0.00,0.00,0.00,41,25,31.80,27.50,0.49,0.50,3.18,4.50,0.84,12.02,0.57,0.54,8.04,2.00,0.24,0.52,0.14,0.02,0.16
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,1,53,8,50,7,91,15,79,13,0.87,0.16,0.15,0.02,0.02,0.10,53,35,35.10,34.90,0.58,0.70,3.93,5.56,0.88,16.35,0.63,0.60,17.52,2.96,0.37,0.58,0.06,0.06,0.13
343,1,52,10,47,9,87,19,66,11,0.76,0.17,0.19,0.07,0.14,0.26,52,28,35.40,36.40,0.60,0.56,3.94,5.57,0.88,16.83,0.71,0.69,13.79,2.63,0.30,0.78,0.09,0.05,0.14
344,1,47,13,41,12,68,22,55,15,0.81,0.27,0.28,0.07,0.14,0.27,47,36,37.80,38.20,0.69,0.72,4.03,5.70,0.91,20.93,0.75,0.71,14.29,2.67,0.36,0.75,0.13,0.05,0.18
345,1,55,17,51,15,90,32,73,20,0.81,0.27,0.31,0.09,0.37,0.43,55,35,35.70,35.30,0.61,0.70,4.10,5.80,0.89,17.86,0.70,0.70,20.93,3.23,0.41,0.61,0.05,0.04,0.10
346,1,43,3,39,2,88,6,72,2,0.82,0.03,0.07,0.03,0.03,0.12,43,31,29.90,30.80,0.49,0.62,3.24,4.58,0.84,12.16,0.54,0.62,12.97,2.55,0.29,0.50,0.10,0.01,0.11
