subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
139,1,36,8,32,7,60,15,47,9,0.78,0.19,0.22,0.09,0.17,0.29,36,32,32.00,32.50,0.60,0.64,3.29,4.65,0.88,14.25,0.68,0.74,12.57,2.51,0.36,0.61,0.09,0.02,0.11
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1,47,10,43,9,74,20,62,14,0.84,0.23,0.21,0.00,0.00,0.00,47,39,36.60,33.90,0.64,0.78,3.86,5.46,0.89,17.72,0.69,0.74,20.63,3.21,0.45,0.58,0.05,0.02,0.06
142,1,36,10,31,8,50,16,37,9,0.74,0.24,0.28,0.05,0.05,0.16,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.84,0.80,12.80,2.53,0.43,0.83,0.11,0.03,0.14
143,1,47,7,43,6,88,13,74,6,0.84,0.08,0.15,0.08,0.24,0.34,47,28,33.60,32.90,0.53,0.56,3.54,5.01,0.86,13.88,0.58,0.58,12.74,2.52,0.30,0.56,0.08,0.07,0.15
144,1,40,9,37,8,69,20,57,14,0.83,0.25,0.23,0.03,0.03,0.13,40,33,33.10,34.50,0.58,0.66,3.41,4.82,0.87,14.28,0.65,0.66,12.45,2.49,0.33,0.59,0.04,0.05,0.09
145,1,45,11,40,10,67,19,52,13,0.78,0.25,0.24,0.00,0.00,0.00,45,39,36.40,34.50,0.67,0.78,3.89,5.50,0.91,19.29,0.77,0.73,11.64,2.41,0.31,0.76,0.08,0.08,0.15
148,1,46,5,39,3,86,10,67,4,0.78,0.06,0.11,0.06,0.11,0.24,46,31,33.50,33.40,0.53,0.62,3.51,4.96,0.86,13.77,0.58,0.69,16.46,2.87,0.36,0.46,0.04,0.01,0.06
149,1,48,13,42,12,78,28,59,18,0.76,0.31,0.27,0.06,0.13,0.25,48,34,34.60,37.00,0.62,0.68,3.84,5.43,0.89,16.98,0.71,0.68,14.23,2.67,0.36,0.70,0.08,0.03,0.12
150,1,58,9,53,8,97,22,80,13,0.82,0.16,0.16,0.04,0.07,0.19,58,34,36.90,37.30,0.60,0.68,4.16,5.89,0.89,17.67,0.66,0.67,24.00,3.46,0.45,0.57,0.03,0.04,0.06
152,1,50,11,41,6,84,22,65,12,0.77,0.18,0.22,0.00,0.00,0.00,50,35,34.70,31.90,0.60,0.70,3.86,5.46,0.88,16.43,0.63,0.62,14.30,2.67,0.35,0.47,0.08,0.08,0.15
153,1,42,9,37,7,69,14,58,11,0.84,0.19,0.21,0.04,0.04,0.13,42,32,34.60,33.50,0.61,0.64,3.58,5.06,0.88,15.68,0.64,0.71,14.29,2.67,0.34,0.55,0.09,0.00,0.09
154,1,62,9,56,7,119,15,102,10,0.86,0.10,0.15,0.02,0.02,0.10,62,34,34.80,34.60,0.52,0.66,4.02,5.68,0.86,15.21,0.55,0.60,19.80,3.15,0.32,0.52,0.06,0.03,0.09
155,1,56,18,50,15,97,31,76,17,0.78,0.22,0.32,0.05,0.09,0.21,56,38,34.60,36.50,0.58,0.76,4.02,5.69,0.88,16.54,0.66,0.64,17.82,2.98,0.37,0.62,0.05,0.04,0.09
156,1,54,10,49,9,90,21,71,13,0.79,0.18,0.19,0.09,0.26,0.36,54,41,35.30,33.50,0.60,0.82,4.02,5.69,0.89,17.21,0.69,0.74,19.31,3.11,0.37,0.65,0.06,0.06,0.11
157,1,38,5,34,4,64,9,54,5,0.84,0.09,0.13,0.00,0.00,0.00,38,31,32.20,32.90,0.59,0.62,3.36,4.75,0.87,14.41,0.63,0.67,14.67,2.71,0.41,0.62,0.07,0.00,0.07
158,1,52,7,48,6,122,14,106,8,0.87,0.08,0.13,0.02,0.02,0.09,52,27,30.80,29.60,0.43,0.67,3.33,4.71,0.82,11.75,0.45,0.42,10.11,2.25,0.23,0.52,0.07,0.04,0.10
159,1,57,14,52,12,98,30,84,20,0.86,0.24,0.25,0.04,0.09,0.21,57,36,35.10,36.20,0.58,0.72,4.07,5.76,0.88,16.85,0.62,0.64,18.69,3.06,0.35,0.50,0.02,0.06,0.08
160,1,63,7,58,5,154,19,118,8,0.77,0.07,0.11,0.02,0.02,0.09,63,35,33.60,31.90,0.41,0.61,3.59,5.08,0.82,12.33,0.49,0.53,16.57,2.88,0.26,0.47,0.04,0.05,0.09
161,1,68,11,62,10,135,21,108,12,0.80,0.11,0.16,0.00,0.00,0.00,68,37,35.50,35.50,0.50,0.74,4.14,5.85,0.86,15.24,0.57,0.60,18.00,3.00,0.28,0.56,0.04,0.07,0.11
163,1,52,10,48,9,93,17,75,12,0.81,0.16,0.19,0.06,0.11,0.24,52,31,34.10,34.00,0.56,0.62,3.81,5.39,0.87,15.35,0.64,0.66,15.11,2.75,0.31,0.68,0.11,0.03,0.13
164,1,42,11,37,10,71,25,56,16,0.79,0.29,0.26,0.07,0.14,0.27,42,30,33.00,32.20,0.59,0.60,3.52,4.98,0.88,15.03,0.66,0.68,12.89,2.54,0.34,0.64,0.02,0.02,0.04
165,1,53,10,48,9,123,19,98,12,0.80,0.12,0.19,0.02,0.02,0.10,53,28,31.80,32.80,0.43,0.63,3.38,4.78,0.83,11.95,0.49,0.51,12.26,2.48,0.24,0.50,0.05,0.03,0.08
166,1,66,10,60,8,169,26,130,15,0.77,0.12,0.15,0.00,0.00,0.00,66,28,33.10,30.20,0.39,0.60,3.59,5.08,0.82,12.16,0.46,0.46,13.35,2.58,0.22,0.46,0.07,0.04,0.11
167,1,40,12,33,9,55,18,43,12,0.78,0.28,0.30,0.04,0.04,0.14,40,38,37.80,37.00,0.73,0.76,3.81,5.39,0.92,21.90,0.77,0.79,15.04,2.74,0.44,0.64,0.12,0.05,0.16
169,1,34,0,32,0,52,0,46,0,0.88,0.00,0.00,0.00,0.00,0.00,34,32,33.20,32.40,0.65,0.64,3.33,4.71,0.89,15.96,0.70,0.64,10.24,2.26,0.35,0.64,0.09,0.07,0.15
170,1,54,10,49,9,119,21,93,14,0.78,0.15,0.19,0.03,0.03,0.11,54,24,30.90,31.40,0.45,0.62,3.50,4.95,0.83,12.55,0.53,0.58,12.74,2.52,0.24,0.48,0.10,0.04,0.14
171,1,64,8,59,7,114,16,91,8,0.80,0.09,0.12,0.00,0.00,0.00,64,34,37.10,35.10,0.56,0.69,4.24,5.99,0.88,16.87,0.65,0.69,20.02,3.16,0.32,0.52,0.12,0.04,0.16
172,1,43,5,39,4,81,9,64,5,0.79,0.08,0.12,0.03,0.03,0.13,43,29,33.70,30.20,0.53,0.58,3.38,4.78,0.86,13.24,0.61,0.63,12.03,2.45,0.30,0.60,0.08,0.05,0.12
173,1,47,8,40,6,78,11,61,6,0.78,0.10,0.17,0.03,0.03,0.12,47,32,35.30,33.70,0.60,0.64,3.76,5.32,0.88,16.27,0.66,0.63,13.83,2.63,0.36,0.71,0.08,0.02,0.10
174,1,74,13,68,10,158,24,128,16,0.81,0.12,0.18,0.01,0.01,0.09,74,39,36.40,32.30,0.47,0.69,4.16,5.89,0.85,14.67,0.53,0.51,18.01,3.00,0.27,0.56,0.07,0.05,0.12
175,1,53,11,48,8,73,21,59,13,0.81,0.22,0.21,0.03,0.03,0.12,53,37,38.20,38.50,0.73,0.74,4.39,6.20,0.93,24.97,0.81,0.78,19.53,3.12,0.42,0.80,0.12,0.07,0.19
176,1,46,9,40,7,84,17,66,11,0.79,0.17,0.20,0.00,0.00,0.00,46,28,33.20,30.30,0.55,0.56,3.55,5.02,0.86,14.16,0.61,0.63,13.83,2.63,0.33,0.52,0.08,0.00,0.08
177,1,40,8,35,6,61,12,47,8,0.77,0.17,0.20,0.09,0.17,0.29,40,39,35.00,36.00,0.66,0.78,3.62,5.12,0.90,17.39,0.74,0.78,14.09,2.65,0.38,0.69,0.11,0.06,0.17
178,1,50,8,46,7,94,14,76,10,0.81,0.13,0.16,0.03,0.03,0.12,50,29,33.50,34.40,0.53,0.58,3.65,5.16,0.86,14.20,0.61,0.66,15.11,2.75,0.30,0.58,0.07,0.04,0.11
179,1,55,10,51,8,90,21,70,11,0.78,0.16,0.18,0.03,0.03,0.12,55,36,36.90,36.10,0.61,0.72,4.10,5.80,0.89,17.86,0.73,0.78,22.73,3.37,0.41,0.57,0.11,0.03,0.14
181,1,33,6,28,4,59,13,46,7,0.78,0.15,0.18,0.05,0.05,0.16,33,27,30.10,29.60,0.56,0.54,3.04,4.30,0.86,12.43,0.61,0.70,9.80,2.21,0.30,0.47,0.09,0.04,0.13
182,1,37,16,33,13,67,27,51,18,0.76,0.35,0.43,0.12,0.35,0.42,37,30,31.40,30.60,0.55,0.60,3.20,4.52,0.86,12.93,0.65,0.62,9.85,2.22,0.31,0.58,0.04,0.08,0.12
183,1,40,8,35,7,70,18,54,11,0.77,0.20,0.20,0.06,0.12,0.25,40,31,32.50,33.30,0.57,0.62,3.38,4.78,0.87,14.01,0.65,0.66,13.78,2.62,0.39,0.53,0.04,0.06,0.09
185,1,76,16,63,8,128,29,95,11,0.74,0.12,0.21,0.00,0.00,0.00,76,37,40.40,38.30,0.59,0.74,4.75,6.72,0.89,19.61,0.66,0.72,22.35,3.34,0.33,0.61,0.06,0.09,0.16
186,1,37,6,33,5,60,19,46,14,0.77,0.30,0.16,0.09,0.17,0.29,37,34,32.80,31.60,0.62,0.68,3.38,4.78,0.88,15.06,0.72,0.83,15.70,2.80,0.41,0.58,0.07,0.09,0.15
187,1,63,16,56,13,132,31,102,18,0.77,0.18,0.25,0.04,0.08,0.20,63,35,32.90,31.50,0.48,0.68,3.88,5.48,0.85,14.00,0.55,0.50,12.50,2.50,0.25,0.64,0.09,0.04,0.13
188,1,65,23,60,20,114,45,90,31,0.79,0.34,0.35,0.08,0.33,0.40,65,32,36.10,35.20,0.57,0.72,4.30,6.09,0.88,17.34,0.67,0.61,18.37,3.03,0.33,0.62,0.11,0.06,0.17
189,1,61,10,55,7,132,18,113,10,0.86,0.09,0.16,0.02,0.02,0.09,61,33,34.30,30.50,0.46,0.61,3.75,5.31,0.84,13.41,0.49,0.54,17.85,2.99,0.29,0.39,0.05,0.03,0.08
191,1,61,7,56,6,130,18,102,11,0.78,0.11,0.11,0.04,0.07,0.19,61,25,32.70,36.30,0.47,0.62,3.78,5.35,0.84,13.60,0.55,0.61,20.17,3.18,0.32,0.42,0.06,0.04,0.10
193,1,35,7,31,6,55,10,46,8,0.84,0.17,0.20,0.07,0.07,0.18,35,33,32.80,32.90,0.64,0.66,3.34,4.72,0.89,15.43,0.67,0.73,8.07,2.01,0.24,0.60,0.20,0.04,0.24
