filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
144.txt,1,19,8,16,7,25,12,19,9,0.76,0.47,0.42,0.12,0.12,0.25,19,19,19,19,0.76,0.76,2.69,3.80,0.91,16.40,0.84,0.88,6.12,1.75,0.37,0.71,0.16,0.05,0.21
145.txt,1,15,7,13,6,18,8,14,7,0.78,0.50,0.47,0.17,0.17,0.29,15,15,15,15,0.83,0.83,2.50,3.54,0.94,19.90,0.93,1.00,6.00,1.73,0.43,0.86,0.07,0.00,0.07
147.txt,1,18,8,15,7,20,10,15,7,0.75,0.47,0.44,0.14,0.14,0.27,18,18,18,18,0.90,0.90,2.85,4.02,0.96,36.99,1.00,1.00,7.00,1.87,0.47,1.00,0.07,0.00,0.07
148.txt,1,9,3,7,3,9,3,7,3,0.78,0.43,0.33,0.50,0.50,0.50,9,9,9,9,1.00,1.00,2.12,3.00,1.00,NaN,1.00,1.00,2.00,1.00,0.29,1.00,0.14,0.14,0.29
150.txt,1,13,7,11,6,15,8,12,6,0.80,0.50,0.54,0.33,0.67,0.58,13,13,13,13,0.87,0.87,2.37,3.36,0.95,22.26,0.92,0.83,4.17,1.44,0.42,1.00,0.08,0.00,0.08
152.txt,1,1,0,1,0,1,0,1,0,1.00,0.00,0.00,0,0,0,1,1,1,1,1.00,1.00,0.71,1.00,0,NaN,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00
153.txt,1,9,4,7,3,10,5,7,3,0.70,0.43,0.44,0.50,0.50,0.50,9,9,9,9,0.90,0.90,2.01,2.85,0.95,21.85,1.00,1.00,2.00,1.00,0.29,1.00,0.14,0.14,0.29
154.txt,1,21,9,18,8,31,11,23,10,0.74,0.43,0.43,0.10,0.10,0.22,21,21,21,21,0.68,0.68,2.67,3.77,0.89,13.15,0.78,0.70,4.90,1.57,0.30,0.75,0.17,0.04,0.22
155.txt,1,16,8,14,7,19,11,15,8,0.79,0.53,0.50,0.20,0.20,0.32,16,16,16,16,0.84,0.84,2.60,3.67,0.94,21.91,0.93,1.00,5.00,1.58,0.33,0.86,0.07,0.13,0.20
156.txt,1,13,6,10,5,17,8,12,6,0.71,0.50,0.46,0.20,0.20,0.32,13,13,13,13,0.76,0.76,2.23,3.15,0.91,13.00,0.83,0.80,3.20,1.26,0.33,0.83,0.08,0.00,0.08
157.txt,1,18,7,16,6,19,8,16,6,0.84,0.38,0.39,0.00,0.00,0.00,18,18,18,18,0.95,0.95,2.92,4.13,0.98,69.64,1.00,1.00,7.00,1.87,0.44,1.00,0.12,0.06,0.19
159.txt,1,19,8,16,7,24,13,18,9,0.75,0.50,0.42,0.17,0.17,0.29,19,19,19,19,0.79,0.79,2.74,3.88,0.93,18.78,0.89,1.00,6.00,1.73,0.33,0.78,0.11,0.06,0.17
160.txt,1,18,8,15,7,22,10,16,8,0.73,0.50,0.44,0.17,0.17,0.29,18,18,18,18,0.82,0.82,2.71,3.84,0.94,20.68,0.94,1.00,6.00,1.73,0.38,0.88,0.06,0.06,0.12
161.txt,1,20,9,17,8,24,13,17,8,0.71,0.47,0.45,0.12,0.12,0.25,20,20,20,20,0.83,0.83,2.89,4.08,0.94,24.06,1.00,1.00,8.00,2.00,0.47,1.00,0.06,0.00,0.06
163.txt,1,18,6,15,5,22,10,16,6,0.73,0.38,0.33,0.11,0.11,0.24,18,18,18,18,0.82,0.82,2.71,3.84,0.94,20.68,0.94,1.00,9.00,2.12,0.56,0.83,0.06,0.00,0.06
164.txt,1,16,7,15,6,21,12,16,7,0.76,0.44,0.44,0.14,0.14,0.27,16,16,16,16,0.76,0.76,2.47,3.49,0.91,14.80,0.94,1.00,7.00,1.87,0.44,0.86,0.06,0.06,0.12
165.txt,1,19,8,16,7,26,12,19,8,0.73,0.42,0.42,0.10,0.10,0.22,19,19,19,19,0.73,0.73,2.63,3.73,0.90,14.70,0.84,0.80,6.40,1.79,0.42,0.86,0.11,0.00,0.11
166.txt,1,18,6,16,6,25,7,19,7,0.76,0.37,0.33,0.11,0.11,0.24,18,18,18,18,0.72,0.72,2.55,3.60,0.90,13.70,0.84,0.78,5.44,1.65,0.37,0.86,0.05,0.11,0.16
