filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
210.txt,1,19,9,16,8,26,15,20,12,0.77,0.60,0.47,0.17,0.17,0.29,19,19,19,19,0.73,0.73,2.63,3.73,0.90,14.70,0.80,1.00,6.00,1.73,0.30,0.70,0.10,0.05,0.15
212.txt,1,4,2,4,2,4,2,4,2,1.00,0.50,0.50,0.50,0.50,0.50,4,4,4,4,1.00,1.00,1.41,2.00,1.00,NaN,1.00,1.00,2.00,1.00,0.50,1.00,0.00,0.00,0.00
213.txt,1,15,4,12,3,22,6,15,4,0.68,0.27,0.27,0.12,0.12,0.25,15,15,15,15,0.68,0.68,2.26,3.20,0.88,10.83,0.80,0.88,6.12,1.75,0.47,0.67,0.07,0.00,0.07
214.txt,1,19,9,16,8,24,10,18,8,0.75,0.44,0.47,0.11,0.11,0.24,19,19,19,19,0.79,0.79,2.74,3.88,0.93,18.78,0.89,0.78,5.44,1.65,0.39,1.00,0.06,0.00,0.06
215.txt,1,23,7,19,6,29,9,21,8,0.72,0.38,0.30,0.12,0.12,0.25,23,23,23,23,0.79,0.79,3.02,4.27,0.93,21.24,0.90,1.00,8.00,2.00,0.38,0.80,0.10,0.05,0.14
216.txt,1,20,10,18,9,22,11,19,9,0.86,0.47,0.50,0.22,0.44,0.47,20,20,20,20,0.91,0.91,3.02,4.26,0.97,43.54,0.95,0.89,7.11,1.89,0.42,1.00,0.00,0.05,0.05
217.txt,1,14,7,9,4,16,8,9,4,0.56,0.44,0.50,0.33,0.33,0.41,14,14,14,14,0.88,0.88,2.47,3.50,0.95,25.00,1.00,1.00,3.00,1.22,0.33,1.00,0.11,0.11,0.22
218.txt,1,19,10,15,8,29,15,21,10,0.72,0.48,0.53,0.14,0.14,0.27,19,19,19,19,0.66,0.66,2.49,3.53,0.87,11.65,0.71,0.57,2.29,1.07,0.19,0.75,0.05,0.05,0.10
219.txt,1,17,8,14,7,18,8,14,7,0.78,0.50,0.47,0.25,0.25,0.35,17,17,17,17,0.94,0.94,2.83,4.01,0.98,63.48,1.00,1.00,4.00,1.41,0.29,1.00,0.07,0.14,0.21
220.txt,1,18,9,15,8,20,10,16,8,0.80,0.50,0.50,0.14,0.14,0.27,18,18,18,18,0.90,0.90,2.85,4.02,0.96,36.99,0.94,0.86,5.14,1.60,0.38,1.00,0.06,0.00,0.06
