filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
143.txt,1,21,7,17,6,35,10,25,8,0.71,0.32,0.33,0.11,0.11,0.24,21,21,21,21,0.60,0.60,2.51,3.55,0.86,10.75,0.68,0.67,4.00,1.41,0.24,0.60,0.20,0.04,0.24
144.txt,1,33,11,28,9,40,12,30,9,0.75,0.30,0.33,0.00,0.00,0.00,33,33,33,33,0.82,0.82,3.69,5.22,0.95,30.72,0.93,1.00,10.00,2.24,0.33,0.91,0.17,0.10,0.27
145.txt,1,21,6,17,5,27,7,18,5,0.67,0.28,0.29,0.00,0.00,0.00,21,21,21,21,0.78,0.78,2.86,4.04,0.92,18.77,0.94,1.00,7.00,1.87,0.39,0.86,0.17,0.06,0.22
147.txt,1,37,12,32,11,54,15,41,13,0.76,0.32,0.32,0.29,1.47,0.86,37,33,34.80,33.10,0.69,0.66,3.56,5.04,0.91,18.28,0.78,0.76,9.94,2.23,0.32,0.67,0.17,0.12,0.29
148.txt,1,24,10,21,9,29,11,24,10,0.83,0.42,0.42,0.27,1.07,0.73,24,24,24,24,0.83,0.83,3.15,4.46,0.94,26.02,0.88,0.87,11.27,2.37,0.54,1.00,0.04,0.04,0.08
150.txt,1,18,6,14,5,22,6,15,5,0.68,0.33,0.33,0.00,0.00,0.00,18,18,18,18,0.82,0.82,2.71,3.84,0.94,20.68,0.93,1.00,4.00,1.41,0.27,0.86,0.20,0.07,0.27
152.txt,1,2,2,2,2,2,2,2,2,1.00,1.00,1.00,0,0,0,2,2,2,2,1.00,1.00,1.00,1.41,1.00,NaN,1.00,0,0,0,0.00,1.00,0.50,0.00,0.50
153.txt,1,24,9,20,8,32,12,24,9,0.75,0.38,0.38,0.00,0.00,0.00,24,24,24,24,0.75,0.75,3.00,4.24,0.92,18.13,0.83,0.71,3.57,1.34,0.21,1.00,0.17,0.12,0.29
154.txt,1,36,11,32,10,56,16,40,13,0.71,0.33,0.31,0.07,0.07,0.18,36,34,33.30,32.80,0.64,0.68,3.40,4.81,0.89,15.93,0.80,0.87,11.27,2.37,0.33,0.67,0.28,0.00,0.28
155.txt,1,24,7,20,6,27,8,20,6,0.74,0.30,0.29,0.00,0.00,0.00,24,24,24,24,0.89,0.89,3.27,4.62,0.96,40.05,1.00,1.00,10.00,2.24,0.50,1.00,0.20,0.00,0.20
