filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
278.txt,1,33,10,28,8,42,10,33,8,0.79,0.24,0.30,0.12,0.24,0.34,33,33,33,33,0.79,0.79,3.60,5.09,0.94,25.16,0.85,0.71,8.47,2.06,0.36,1.00,0.15,0.12,0.27
279.txt,1,43,15,38,13,56,19,43,16,0.77,0.37,0.35,0.18,0.53,0.51,43,40,38.60,39.90,0.77,0.80,4.06,5.75,0.93,26.64,0.88,0.94,15.06,2.74,0.37,0.69,0.23,0.07,0.30
281.txt,1,42,16,37,14,61,21,45,14,0.74,0.31,0.38,0.19,0.76,0.62,42,34,36.20,34.20,0.69,0.68,3.80,5.38,0.91,19.67,0.82,0.76,12.19,2.47,0.36,0.85,0.18,0.04,0.22
282.txt,1,19,8,16,7,24,8,17,7,0.71,0.41,0.42,0.00,0.00,0.00,19,19,19,19,0.79,0.79,2.74,3.88,0.93,18.78,0.94,1.00,5.00,1.58,0.29,0.88,0.24,0.00,0.24
284.txt,1,2,2,2,2,2,2,2,2,1.00,1.00,1.00,0,0,0,2,2,2,2,1.00,1.00,1.00,1.41,1.00,NaN,1.00,0,0,0,0.00,1.00,0.50,0.00,0.50
285.txt,1,38,11,33,10,57,18,46,15,0.81,0.33,0.29,0.05,0.05,0.16,38,34,35.10,33.30,0.67,0.68,3.56,5.03,0.90,17.51,0.72,0.75,11.25,2.37,0.33,0.56,0.11,0.09,0.20
287.txt,1,47,16,43,14,66,19,52,15,0.79,0.29,0.34,0.11,0.32,0.40,47,37,36.70,37.40,0.71,0.74,4.09,5.79,0.92,22.45,0.83,0.79,17.29,2.94,0.42,0.85,0.15,0.04,0.19
288.txt,1,36,12,31,11,48,14,37,11,0.77,0.30,0.33,0.22,0.89,0.67,36,36,36,36,0.75,0.75,3.67,5.20,0.93,22.62,0.84,0.83,12.50,2.50,0.41,0.80,0.14,0.08,0.22
290.txt,1,37,9,32,7,56,13,40,9,0.71,0.23,0.24,0.06,0.06,0.17,37,35,33.90,33.90,0.66,0.70,3.50,4.94,0.90,16.98,0.80,0.82,11.53,2.40,0.35,0.69,0.12,0.10,0.23
291.txt,1,46,14,40,12,64,16,47,12,0.73,0.26,0.30,0.15,0.45,0.47,46,35,37.90,36.10,0.72,0.70,4.07,5.75,0.92,22.75,0.85,0.80,12.80,2.53,0.34,0.83,0.19,0.11,0.30
292.txt,1,45,13,39,11,70,19,56,15,0.80,0.27,0.29,0.08,0.16,0.28,45,40,36.70,36.60,0.64,0.80,3.80,5.38,0.90,17.74,0.70,0.72,12.96,2.55,0.32,0.56,0.14,0.07,0.21
293.txt,1,39,11,36,10,63,21,47,15,0.75,0.32,0.28,0.05,0.05,0.16,39,34,33.10,32.70,0.62,0.68,3.47,4.91,0.88,15.54,0.77,0.85,14.45,2.69,0.36,0.67,0.11,0.09,0.19
294.txt,1,35,11,30,9,46,16,35,11,0.76,0.31,0.31,0.08,0.08,0.20,35,35,35,35,0.76,0.76,3.65,5.16,0.93,23.29,0.86,1.00,12.00,2.45,0.34,0.73,0.14,0.14,0.29
295.txt,1,38,9,34,8,52,11,40,9,0.77,0.23,0.24,0.11,0.21,0.32,38,36,36.70,36.00,0.73,0.72,3.73,5.27,0.92,21.62,0.85,0.84,13.47,2.60,0.40,0.75,0.12,0.10,0.23
297.txt,1,42,14,37,12,75,25,56,17,0.75,0.30,0.33,0.11,0.32,0.40,42,32,32.00,29.60,0.56,0.64,3.43,4.85,0.87,13.96,0.66,0.64,11.57,2.41,0.32,0.61,0.09,0.05,0.14
299.txt,1,51,14,45,12,76,22,59,15,0.78,0.25,0.27,0.11,0.32,0.40,51,37,36.50,35.70,0.67,0.74,4.14,5.85,0.91,20.42,0.76,0.79,17.29,2.94,0.37,0.65,0.17,0.03,0.20
300.txt,1,33,10,28,7,48,16,33,7,0.69,0.21,0.30,0.12,0.25,0.35,33,33,33,33,0.69,0.69,3.37,4.76,0.90,17.37,0.85,0.88,12.25,2.47,0.42,0.86,0.15,0.09,0.24
301.txt,1,51,11,46,10,66,15,54,12,0.82,0.22,0.22,0.07,0.15,0.27,51,39,40.00,38.20,0.77,0.78,4.44,6.28,0.94,29.57,0.85,0.81,17.93,2.99,0.41,0.77,0.15,0.11,0.26
303.txt,1,18,8,15,7,21,8,16,7,0.76,0.44,0.44,0.00,0.00,0.00,18,18,18,18,0.86,0.86,2.78,3.93,0.95,26.11,0.94,1.00,5.00,1.58,0.31,0.86,0.25,0.00,0.25
305.txt,1,18,7,14,6,19,7,14,6,0.74,0.43,0.39,0.00,0.00,0.00,18,18,18,18,0.95,0.95,2.92,4.13,0.98,69.64,1.00,1.00,6.00,1.73,0.43,1.00,0.14,0.00,0.14
306.txt,1,53,12,49,11,84,19,67,17,0.80,0.25,0.23,0.09,0.26,0.36,53,34,37.10,36.60,0.63,0.68,4.09,5.78,0.90,18.51,0.73,0.82,23.06,3.40,0.42,0.53,0.13,0.03,0.16
307.txt,1,33,8,30,7,45,11,36,8,0.80,0.22,0.24,0.00,0.00,0.00,33,33,33,33,0.73,0.73,3.48,4.92,0.92,20.29,0.83,0.81,10.56,2.30,0.36,0.83,0.11,0.08,0.19
308.txt,1,44,12,39,10,66,19,50,12,0.76,0.24,0.27,0.11,0.32,0.40,44,36,36.00,35.80,0.67,0.72,3.83,5.42,0.90,18.80,0.78,0.75,15.75,2.81,0.42,0.75,0.12,0.06,0.18
309.txt,1,34,8,28,6,42,9,31,6,0.74,0.19,0.24,0.20,0.40,0.45,34,34,34,34,0.81,0.81,3.71,5.25,0.94,28.71,0.90,1.00,10.00,2.24,0.32,0.88,0.26,0.10,0.35
310.txt,1,39,12,34,11,55,17,41,11,0.75,0.27,0.31,0.06,0.06,0.18,39,36,36.10,34.70,0.71,0.72,3.72,5.26,0.91,20.29,0.83,0.75,9.00,2.12,0.29,0.86,0.20,0.05,0.24
314.txt,1,48,11,45,10,83,18,64,15,0.77,0.23,0.23,0.06,0.12,0.25,48,33,34.50,34.40,0.58,0.66,3.73,5.27,0.88,15.48,0.70,0.75,18.00,3.00,0.38,0.58,0.09,0.06,0.16
315.txt,1,72,18,68,17,118,28,94,19,0.80,0.20,0.25,0.04,0.08,0.20,72,32,37.00,35.50,0.61,0.73,4.69,6.63,0.90,20.01,0.72,0.69,22.69,3.37,0.35,0.77,0.10,0.06,0.16
316.txt,1,40,11,34,9,57,12,41,9,0.72,0.22,0.28,0.17,0.50,0.50,40,34,36.40,35.50,0.70,0.68,3.75,5.30,0.91,20.04,0.83,0.83,12.50,2.50,0.37,0.75,0.17,0.07,0.24
317.txt,1,28,12,22,10,42,17,29,13,0.69,0.45,0.43,0.36,1.79,0.94,28,28,28,28,0.67,0.67,3.06,4.32,0.89,14.96,0.76,0.79,8.64,2.08,0.38,0.67,0.07,0.03,0.10
318.txt,1,27,8,23,7,43,12,31,9,0.72,0.29,0.30,0.18,0.36,0.43,27,27,27,27,0.63,0.63,2.91,4.12,0.88,13.20,0.74,0.82,7.36,1.92,0.29,0.54,0.13,0.10,0.23
320.txt,1,52,20,45,17,107,37,77,25,0.72,0.32,0.38,0.08,0.25,0.35,52,33,33.10,31.90,0.49,0.67,3.55,5.03,0.85,13.14,0.58,0.53,10.03,2.24,0.25,0.52,0.10,0.04,0.14
