filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files\STAT_A_EN_uncorrected\839.txt,1,54,8,34,8,120,10,54,10,0.45,0.19,0.15,0.40,1.60,0.89,54,32,30.20,31.30,0.45,0.64,3.49,4.93,0.83,12.47,0.63,0.90,8.10,2.01,0.17,0.61,0.13,0.09,0.22
..\data\indiv_files\STAT_A_EN_uncorrected\883.txt,1,31,4,20,4,53,5,30,5,0.57,0.17,0.13,0.00,0.00,0.00,31,31,29.70,30.20,0.58,0.62,3.01,4.26,0.86,12.76,0.67,1.00,5.00,1.58,0.17,0.53,0.13,0.10,0.23
..\data\indiv_files\STAT_A_EN_uncorrected\640.txt,1,69,11,45,11,103,12,58,12,0.56,0.21,0.16,0.24,0.94,0.69,69,44,40.10,40.50,0.67,0.83,4.81,6.80,0.91,23.29,0.78,1.00,17.00,2.92,0.29,0.72,0.12,0.07,0.19
..\data\indiv_files\STAT_A_EN_uncorrected\853.txt,1,50,9,33,9,87,9,42,9,0.48,0.21,0.18,0.00,0.00,0.00,50,32,34.50,33.10,0.57,0.64,3.79,5.36,0.88,15.64,0.79,1.00,9.00,2.12,0.21,0.69,0.12,0.02,0.14
..\data\indiv_files\STAT_A_EN_uncorrected\526.txt,1,59,10,39,10,112,18,60,18,0.54,0.30,0.17,0.07,0.07,0.18,59,29,33.70,34.20,0.53,0.63,3.94,5.57,0.86,15.09,0.65,0.80,9.60,2.19,0.20,0.52,0.10,0.10,0.20
..\data\indiv_files\STAT_A_EN_uncorrected\699.txt,1,50,5,34,5,84,5,48,5,0.57,0.10,0.10,0.09,0.09,0.21,50,36,34.00,34.50,0.60,0.72,3.86,5.46,0.88,16.43,0.71,0.73,5.82,1.71,0.17,0.64,0.12,0.04,0.17
..\data\indiv_files\STAT_A_EN_uncorrected\636.txt,1,46,2,30,2,77,4,43,4,0.56,0.09,0.04,0.00,0.00,0.00,46,34,35.50,35.90,0.60,0.68,3.71,5.24,0.88,15.91,0.70,1.00,9.00,2.12,0.21,0.61,0.14,0.05,0.19
..\data\indiv_files\STAT_A_EN_uncorrected\738.txt,1,43,5,27,4,72,6,41,5,0.57,0.12,0.12,0.11,0.11,0.24,43,32,33.60,33.70,0.60,0.64,3.58,5.07,0.88,15.41,0.66,0.89,7.11,1.89,0.20,0.57,0.15,0.02,0.17
..\data\indiv_files\STAT_A_EN_uncorrected\919.txt,1,69,6,47,6,153,9,83,9,0.54,0.11,0.09,0.16,0.47,0.49,69,37,36.00,34.90,0.45,0.72,3.94,5.58,0.84,13.80,0.57,0.58,6.37,1.78,0.13,0.44,0.14,0.10,0.24
..\data\indiv_files\STAT_A_EN_uncorrected\587.txt,1,54,9,33,9,132,13,63,13,0.48,0.21,0.17,0.25,0.75,0.61,54,30,29.60,29.20,0.41,0.61,3.32,4.70,0.82,11.58,0.52,0.75,6.75,1.84,0.14,0.46,0.10,0.06,0.16
..\data\indiv_files\STAT_A_EN_uncorrected\662.txt,1,30,11,18,11,43,16,24,16,0.56,0.67,0.37,0.40,0.80,0.63,30,30,30,30,0.70,0.70,3.23,4.57,0.90,17.07,0.75,1.00,5.00,1.58,0.21,0.77,0.08,0.08,0.17
..\data\indiv_files\STAT_A_EN_uncorrected\888.txt,1,65,7,40,7,131,9,64,9,0.49,0.14,0.11,0.12,0.24,0.34,65,32,34.10,34.60,0.50,0.65,4.02,5.68,0.86,14.73,0.62,0.71,8.47,2.06,0.19,0.53,0.14,0.03,0.17
