filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\677.txt,1,31,7,18,6,50,8,23,7,0.46,0.30,0.23,0.00,0.00,0.00,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.78,1.00,3.00,1.22,0.13,0.82,0.22,0.04,0.26
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\742.txt,1,32,3,18,3,50,6,29,6,0.58,0.21,0.09,0.33,0.33,0.41,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.62,1.00,3.00,1.22,0.10,0.62,0.17,0.03,0.21
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\734.txt,1,27,3,19,3,50,5,31,5,0.62,0.16,0.11,0.12,0.12,0.25,27,27,27.00,27.00,0.54,0.54,2.70,3.82,0.84,10.79,0.61,0.50,2.00,1.00,0.13,0.50,0.26,0.06,0.32
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\756.txt,1,37,7,25,7,50,7,29,7,0.58,0.24,0.19,0.17,0.17,0.29,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.86,1.00,6.00,1.73,0.21,0.75,0.31,0.07,0.38
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\896.txt,1,33,5,20,5,50,7,27,7,0.54,0.26,0.15,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.74,0.83,4.17,1.44,0.19,0.67,0.19,0.07,0.26
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\591.txt,1,34,5,19,5,50,6,24,6,0.48,0.25,0.15,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.79,0.80,3.20,1.26,0.17,0.64,0.29,0.04,0.33
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\848.txt,1,34,6,20,4,50,6,27,4,0.54,0.15,0.18,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.74,0.83,4.17,1.44,0.19,0.64,0.19,0.07,0.26
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\745.txt,1,35,3,19,3,50,3,23,3,0.46,0.13,0.09,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.83,1.00,3.00,1.22,0.13,0.77,0.26,0.00,0.26
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\914.txt,1,37,7,22,7,50,7,25,7,0.50,0.28,0.19,0.25,0.25,0.35,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.88,1.00,4.00,1.41,0.16,0.88,0.12,0.04,0.16
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\845.txt,1,33,6,19,6,50,7,26,7,0.52,0.27,0.18,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.73,0.75,2.25,1.06,0.12,0.67,0.23,0.00,0.23
