subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
144,1,33,11,20,9,40,12,22,9,0.55,0.41,0.33,0.00,0.00,0.00,33,18,18.17,18.15,0.82,0.93,3.69,5.22,0.95,30.72,0.91,1.00,2.00,1.00,0.09,0.91,0.23,0.14,0.36
145,1,21,6,12,5,27,7,13,5,0.48,0.38,0.29,0.00,0.00,0.00,21,16,16.59,16.38,0.78,0.80,2.86,4.04,0.92,18.77,0.92,1.00,2.00,1.00,0.15,0.86,0.23,0.08,0.31
148,1,24,10,16,9,29,11,17,10,0.59,0.59,0.42,0.50,2.00,1.00,24,17,17.49,18.40,0.83,0.85,3.15,4.46,0.94,26.02,0.94,1.00,8.00,2.00,0.47,1.00,0.06,0.06,0.12
150,1,18,6,10,5,22,6,11,5,0.50,0.45,0.33,0,0,0,18,16,16.63,16.00,0.82,0.80,2.71,3.84,0.94,20.68,0.91,0,0,0,0.00,0.86,0.27,0.09,0.36
152,1,2,2,2,2,2,2,2,2,1.00,1.00,1.00,0,0,0,2,2,2,2,1.00,1.00,1.00,1.41,1.00,NaN,1.00,0,0,0,0.00,1.00,0.50,0.00,0.50
153,1,24,9,16,8,32,12,18,9,0.56,0.50,0.38,0.00,0.00,0.00,24,18,16.46,16.93,0.75,0.90,3.00,4.24,0.92,18.13,0.89,1.00,1.00,0.71,0.06,1.00,0.22,0.17,0.39
154,1,36,11,21,9,56,16,27,12,0.48,0.44,0.31,0.00,0.00,0.00,36,18,16.69,17.27,0.64,0.90,3.40,4.81,0.89,15.93,0.78,1.00,2.00,1.00,0.07,0.67,0.41,0.00,0.41
155,1,24,7,16,6,27,8,16,6,0.59,0.38,0.29,0.00,0.00,0.00,24,19,18.38,18.24,0.89,0.95,3.27,4.62,0.96,40.05,1.00,1.00,6.00,1.73,0.38,1.00,0.25,0.00,0.25
156,1,36,12,20,9,49,13,22,9,0.45,0.41,0.33,0.75,2.25,1.06,36,16,17.24,16.93,0.73,0.82,3.64,5.14,0.92,21.34,0.91,1.00,4.00,1.41,0.18,0.80,0.32,0.05,0.36
157,1,40,12,25,9,55,18,30,10,0.55,0.33,0.30,0.33,0.67,0.58,40,16,17.09,16.92,0.73,0.85,3.81,5.39,0.92,21.90,0.83,1.00,6.00,1.73,0.20,0.70,0.23,0.17,0.40
159,1,40,12,24,9,55,19,28,11,0.51,0.39,0.30,0.50,1.00,0.71,40,18,17.24,16.95,0.73,0.88,3.81,5.39,0.92,21.90,0.86,1.00,4.00,1.41,0.14,0.71,0.29,0.07,0.36
