subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
318,1,30,6,17,3,33,6,17,3,0.52,0.18,0.20,0.17,0.17,0.29,30,19,18.76,19.36,0.91,0.95,3.69,5.22,0.97,55.71,1.00,1.00,6.00,1.73,0.35,1.00,0.24,0.06,0.29
320,1,36,7,22,6,47,14,27,8,0.57,0.30,0.19,0.12,0.12,0.25,36,17,17.39,17.45,0.77,0.90,3.71,5.25,0.93,24.15,0.81,0.88,6.12,1.75,0.26,0.60,0.15,0.19,0.33
321,1,42,7,25,5,57,8,30,5,0.53,0.17,0.17,0.00,0.00,0.00,42,17,17.76,18.70,0.74,0.90,3.93,5.56,0.92,23.25,0.83,0.70,4.90,1.57,0.23,0.90,0.20,0.10,0.30
322,1,17,2,10,2,23,2,14,2,0.61,0.14,0.12,0.00,0.00,0.00,17,16,15.38,15.00,0.74,0.80,2.51,3.54,0.90,14.12,0.71,0.75,2.25,1.06,0.21,0.60,0.14,0.14,0.29
323,1,34,5,20,3,43,6,22,3,0.51,0.14,0.15,0.00,0.00,0.00,34,18,17.87,17.52,0.79,0.93,3.67,5.18,0.94,26.16,0.91,0.86,5.14,1.60,0.27,0.75,0.23,0.27,0.50
324,1,32,7,22,5,42,11,25,6,0.60,0.24,0.22,0.14,0.14,0.27,32,15,17.15,17.38,0.76,0.80,3.49,4.94,0.93,22.31,0.88,1.00,7.00,1.87,0.28,0.80,0.12,0.16,0.28
325,1,33,7,20,5,43,9,25,5,0.58,0.20,0.21,0.00,0.00,0.00,33,18,17.65,19.25,0.77,0.93,3.56,5.03,0.93,23.21,0.80,0.62,3.12,1.25,0.20,1.00,0.12,0.20,0.32
326,1,41,3,25,1,53,5,30,1,0.57,0.03,0.07,0.00,0.00,0.00,41,18,18.24,18.70,0.77,0.93,3.98,5.63,0.94,26.67,0.83,1.00,6.00,1.73,0.20,0.67,0.23,0.13,0.37
327,1,48,9,32,7,62,12,37,7,0.60,0.19,0.19,0.13,0.27,0.37,48,16,17.86,18.29,0.77,0.90,4.31,6.10,0.94,28.90,0.86,0.73,8.07,2.01,0.30,1.00,0.14,0.14,0.27
328,1,18,3,11,3,18,3,11,3,0.61,0.27,0.17,0.50,1.00,0.71,18,18,18,18,1.00,1.00,3.00,4.24,1.00,NaN,1.00,1.00,4.00,1.41,0.36,1.00,0.27,0.18,0.45
330,1,37,5,22,3,51,5,30,3,0.59,0.10,0.14,0.00,0.00,0.00,37,18,17.52,17.99,0.73,0.88,3.66,5.18,0.92,20.92,0.73,0.78,5.44,1.65,0.23,0.71,0.20,0.13,0.33
332,1,43,8,28,7,64,11,35,8,0.55,0.23,0.19,0.08,0.08,0.20,43,17,17.30,17.16,0.67,0.88,3.80,5.38,0.90,18.89,0.80,0.83,8.33,2.04,0.29,0.64,0.11,0.20,0.31
336,1,26,7,16,6,31,9,19,6,0.61,0.32,0.27,0.40,0.80,0.63,26,19,17.80,18.41,0.84,0.95,3.30,4.67,0.95,29.12,0.84,1.00,5.00,1.58,0.26,0.86,0.16,0.11,0.26
337,1,49,14,29,12,61,18,31,13,0.51,0.42,0.29,0.20,0.20,0.32,49,18,18.13,17.91,0.80,0.90,4.44,6.27,0.95,33.50,0.94,0.80,3.20,1.26,0.13,0.93,0.16,0.19,0.35
339,1,39,4,22,3,51,4,27,3,0.53,0.11,0.10,0.00,0.00,0.00,39,20,18.12,18.85,0.76,0.95,3.86,5.46,0.93,25.03,0.81,0.78,5.44,1.65,0.26,1.00,0.19,0.15,0.33
340,1,35,5,19,4,46,6,20,4,0.43,0.20,0.14,0.00,0.00,0.00,35,19,17.55,17.49,0.76,0.90,3.65,5.16,0.93,23.29,0.95,1.00,5.00,1.58,0.25,0.88,0.20,0.15,0.35
342,1,40,5,23,3,52,5,31,3,0.60,0.10,0.12,0.00,0.00,0.00,40,17,17.93,18.07,0.77,0.90,3.92,5.55,0.93,25.84,0.74,0.67,4.00,1.41,0.19,0.78,0.16,0.16,0.32
344,1,31,9,14,5,45,11,21,5,0.47,0.24,0.29,0.00,0.00,0.00,31,16,16.31,17.07,0.69,0.85,3.27,4.62,0.90,16.89,0.67,0.50,2.00,1.00,0.19,0.67,0.10,0.10,0.19
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,1,44,10,25,7,73,20,35,8,0.48,0.23,0.23,0.00,0.00,0.00,44,13,16.96,17.00,0.60,0.82,3.64,5.15,0.88,15.79,0.71,0.67,5.33,1.63,0.23,0.67,0.20,0.06,0.26
