subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
164,1,33,11,29,10,50,16,36,10,0.72,0.28,0.33,0.06,0.06,0.18,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.81,0.75,9.00,2.12,0.33,0.79,0.14,0.03,0.17
165,1,31,8,27,7,50,11,36,9,0.72,0.25,0.26,0.06,0.06,0.18,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.75,0.75,9.00,2.12,0.33,0.62,0.14,0.06,0.19
166,1,37,11,31,9,50,13,36,9,0.72,0.25,0.30,0.12,0.24,0.34,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.86,0.82,11.53,2.40,0.39,0.82,0.19,0.03,0.22
167,1,35,12,30,10,50,18,35,12,0.70,0.34,0.34,0.08,0.08,0.20,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.86,0.92,11.08,2.35,0.34,0.71,0.17,0.06,0.23
168,1,42,11,38,10,50,12,42,10,0.84,0.24,0.26,0.13,0.39,0.44,42,42,42.00,42.00,0.84,0.84,4.20,5.94,0.96,38.12,0.90,0.83,15.70,2.80,0.45,1.00,0.12,0.10,0.21
170,1,36,12,31,11,50,17,37,12,0.74,0.32,0.33,0.11,0.22,0.33,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.84,0.83,12.50,2.50,0.41,0.75,0.14,0.05,0.19
171,1,37,7,34,7,50,7,37,7,0.74,0.19,0.19,0.06,0.06,0.17,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.92,0.88,13.24,2.57,0.41,1.00,0.08,0.05,0.14
173,1,40,9,36,8,50,10,41,8,0.82,0.20,0.23,0.00,0.00,0.00,40,40,40.00,40.00,0.80,0.80,4.00,5.66,0.94,29.79,0.88,0.81,17.93,2.99,0.54,1.00,0.05,0.07,0.12
174,1,30,9,26,8,50,15,35,9,0.70,0.26,0.30,0.14,0.29,0.38,30,30,30.00,30.00,0.60,0.60,3.00,4.24,0.87,13.01,0.74,0.71,7.14,1.89,0.29,0.69,0.17,0.06,0.23
175,1,39,6,35,4,50,8,41,5,0.82,0.12,0.15,0.00,0.00,0.00,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.85,0.79,15.04,2.74,0.46,0.83,0.12,0.15,0.27
179,1,32,10,28,9,50,16,36,12,0.72,0.33,0.31,0.12,0.25,0.35,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.78,0.88,12.25,2.47,0.39,0.57,0.11,0.06,0.17
183,1,33,11,28,10,50,15,36,10,0.72,0.28,0.33,0.11,0.21,0.32,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.78,0.68,8.89,2.11,0.36,0.92,0.06,0.03,0.08
186,1,37,9,33,8,50,12,40,10,0.80,0.25,0.24,0.12,0.25,0.35,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.82,0.88,12.25,2.47,0.35,0.64,0.15,0.15,0.30
189,1,39,11,34,10,50,13,38,10,0.76,0.26,0.28,0.11,0.22,0.33,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.89,0.89,14.22,2.67,0.42,0.83,0.18,0.03,0.21
191,1,34,10,30,9,50,16,37,12,0.74,0.32,0.29,0.11,0.22,0.33,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.81,0.83,12.50,2.50,0.41,0.67,0.14,0.05,0.19
194,1,38,9,33,7,50,10,39,7,0.78,0.18,0.24,0.05,0.05,0.16,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.85,0.74,10.32,2.27,0.36,0.91,0.13,0.10,0.23
195,1,35,11,31,10,50,12,39,11,0.78,0.28,0.31,0.05,0.05,0.15,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.79,0.71,10.71,2.31,0.38,0.82,0.15,0.03,0.18
197,1,37,10,33,9,50,12,38,9,0.76,0.24,0.27,0.07,0.07,0.18,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.87,0.87,11.27,2.37,0.34,0.83,0.18,0.08,0.26
199,1,34,14,30,13,50,16,35,13,0.70,0.37,0.41,0.10,0.10,0.22,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.86,0.80,6.40,1.79,0.23,0.87,0.23,0.03,0.26
202,1,34,13,29,12,50,18,35,13,0.70,0.37,0.38,0.22,0.44,0.47,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.83,0.89,7.11,1.89,0.23,0.79,0.17,0.11,0.29
206,1,34,12,29,11,50,18,33,13,0.66,0.39,0.35,0.12,0.12,0.25,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.88,1.00,8.00,2.00,0.24,0.75,0.18,0.09,0.27
207,1,36,11,31,10,50,14,34,10,0.68,0.29,0.31,0.08,0.08,0.20,36,36,36.00,36.00,0.72,0.72,3.60,5.09,0.92,20.23,0.91,0.92,10.08,2.25,0.32,0.86,0.18,0.06,0.24
208,1,35,11,32,10,50,12,37,10,0.74,0.27,0.31,0.06,0.06,0.17,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.86,0.82,11.53,2.40,0.38,0.82,0.16,0.08,0.24
