subjectcode,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
121,1,35,5,32,4,50,10,40,4,0.80,0.10,0.14,0.00,0.00,0.00,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.80,0.76,14.44,2.69,0.47,0.80,0.10,0.03,0.12
123,1,31,6,27,4,50,9,41,4,0.82,0.10,0.19,0.04,0.04,0.15,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.66,0.65,9.78,2.21,0.37,0.50,0.10,0.07,0.17
124,1,26,5,21,3,50,12,40,8,0.80,0.20,0.19,0.00,0.00,0.00,26,26,26.00,26.00,0.52,0.52,2.60,3.68,0.83,10.16,0.53,0.57,6.86,1.85,0.30,0.31,0.10,0.03,0.12
126,1,33,9,29,8,50,17,43,13,0.86,0.30,0.27,0.04,0.04,0.14,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.67,0.68,11.56,2.40,0.40,0.64,0.09,0.02,0.12
127,1,28,4,24,3,50,7,43,4,0.86,0.09,0.14,0.00,0.00,0.00,28,28,28.00,28.00,0.56,0.56,2.80,3.96,0.85,11.46,0.56,0.50,6.50,1.80,0.30,0.50,0.07,0.07,0.14
128,1,30,6,27,4,50,12,41,5,0.82,0.12,0.20,0.05,0.05,0.15,30,30,30.00,30.00,0.60,0.60,3.00,4.24,0.87,13.01,0.66,0.59,7.68,1.96,0.32,0.67,0.12,0.02,0.15
130,1,33,4,31,3,50,5,45,3,0.90,0.07,0.12,0.00,0.00,0.00,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.69,0.69,13.79,2.63,0.44,0.64,0.02,0.07,0.09
132,1,33,6,32,5,50,8,49,7,0.98,0.14,0.18,0.07,0.14,0.27,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.65,0.61,10.32,2.27,0.35,0.67,0.10,0.08,0.18
134,1,39,8,35,7,50,14,41,9,0.82,0.22,0.21,0.05,0.05,0.16,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.85,0.89,15.21,2.76,0.41,0.73,0.17,0.07,0.24
137,1,33,9,30,8,50,17,41,11,0.82,0.27,0.27,0.05,0.05,0.16,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.73,0.70,9.80,2.21,0.34,0.69,0.12,0.05,0.17
141,1,34,6,31,5,50,12,42,7,0.84,0.17,0.18,0.00,0.00,0.00,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.74,0.75,13.50,2.60,0.43,0.67,0.10,0.02,0.12
148,1,35,7,30,5,50,10,44,7,0.88,0.16,0.20,0.04,0.04,0.14,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.68,0.76,14.44,2.69,0.43,0.50,0.09,0.05,0.14
149,1,38,7,34,6,50,10,43,8,0.86,0.19,0.18,0.00,0.00,0.00,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.79,0.76,12.19,2.47,0.37,0.70,0.14,0.12,0.26
150,1,31,7,29,6,50,13,45,10,0.90,0.22,0.23,0.05,0.05,0.15,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.64,0.68,10.23,2.26,0.33,0.38,0.11,0.09,0.20
154,1,39,6,37,5,50,8,46,6,0.92,0.13,0.15,0.00,0.00,0.00,39,39,39.00,39.00,0.78,0.78,3.90,5.52,0.94,26.75,0.80,0.81,17.93,2.99,0.48,0.70,0.09,0.09,0.17
156,1,34,8,30,7,50,14,42,10,0.84,0.24,0.24,0.05,0.05,0.15,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.71,0.73,11.64,2.41,0.38,0.55,0.14,0.05,0.19
157,1,43,8,38,6,50,8,43,6,0.86,0.14,0.19,0.04,0.04,0.14,43,43,43.00,43.00,0.86,0.86,4.30,6.08,0.96,44.07,0.88,0.89,21.33,3.27,0.56,1.00,0.09,0.12,0.21
158,1,32,8,29,7,50,17,41,11,0.82,0.27,0.25,0.05,0.05,0.16,32,32,32.00,32.00,0.64,0.64,3.20,4.53,0.89,14.89,0.71,0.74,10.32,2.27,0.34,0.64,0.15,0.00,0.15
159,1,34,9,29,7,50,13,41,10,0.82,0.24,0.26,0.05,0.05,0.15,34,34,34.00,34.00,0.68,0.68,3.40,4.81,0.90,17.23,0.71,0.62,8.05,2.01,0.32,0.71,0.17,0.10,0.27
160,1,33,9,31,8,50,13,45,9,0.90,0.20,0.27,0.04,0.04,0.15,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.69,0.65,9.78,2.21,0.33,0.64,0.11,0.09,0.20
161,1,33,7,31,6,50,13,45,9,0.90,0.20,0.21,0.07,0.15,0.27,33,33,33.00,33.00,0.66,0.66,3.30,4.67,0.89,16.00,0.69,0.70,13.37,2.59,0.42,0.55,0.09,0.04,0.13
