SubjectCode	Gender	Track	Natio1	TrackNatio1	DropOut	DropOutBinary	SchoolMean	SchoolDutch	SchoolEnglish	CoursesOutsideProgramme	Exemption	PassedBSA	Course1_Grade	Course2_Grade	Course3_Grade	Course4_Grade	Course5_Grade	Course6_Grade	Course7_Grade	Course8_Grade	Course9_Grade	Course10_Grade	Course11_Grade	Course12_Grade	Course13_Grade	Course1_EC_Worth	Course2_EC_Worth	Course3_EC_Worth	Course4_EC_Worth	Course5_EC_Worth	Course6_EC_Worth	Course7_EC_Worth	Course8_EC_Worth	Course9_EC_Worth	Course10_EC_Worth	Course11_EC_Worth	Course12_EC_Worth	Course13_EC_Worth
129	M	NL	NL	NL_in_NL	AfterYear1	1	6.45	6	7	1	0	No	5	8	4	2	8.5	4	5	4	4	NA	4	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
130	M	NL	NL	NL_in_NL	No	0	6.56	6	7	1	0	Yes	6	7	4	7	6.5	7	7	7	4	7	6	6	8	5	5	6	3	3	3	4	6	6	1	6	6	6
131	M	NL	NL	NL_in_NL	AfterYear1	1	6.20	6	6	0	0	No	6	5	4	NA	6	NA	4	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
132	V	NL	NL	NL_in_NL	No	0	6.40	6	7	1	0	Yes	7	7	7	7	6.5	7.5	7	7.5	6.5	7	6	7	7	5	5	6	3	3	3	4	6	6	1	6	6	6
134	M	NL	NL	NL_in_NL	No	0	7.33	7	8	0	0	Yes	8.5	9.5	9	8.5	9	7.5	9	9.5	8.5	7	8.5	9.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
135	V	NL	NL	NL_in_NL	No	0	6.09	5	6	0	0	No	5	6	5	4	7.5	6.5	6.5	8	5	7	7	5	7	5	5	6	3	3	3	4	6	6	1	6	6	6
136	V	NL	NL	NL_in_NL	AfterYear1	1				0	0	No	6	7	NA	3.5	8.5	7	7	5	4	7	4.5	7	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
137	V	NL	NL	NL_in_NL	No	0	6.09	6	6	1	0	Yes	6.5	8.5	8.5	7	9.5	7.5	8	8	7	7	7.5	8	8	5	5	6	3	3	3	4	6	6	1	6	6	6
138	V	NL	NL	NL_in_NL	AfterYear1	1	6.83	6	6	0	0	Yes	6	7.5	7	7.5	9.5	6.5	6	7	4	7	6	6	7	5	5	6	3	3	3	4	6	6	1	6	6	6
139	V	NL	DU	DU_in_NL	AfterYear1	1				0	0	No	3.5	2.5	5	2.5	9.5	4	6	3	4	NA	5	NA	5	5	5	6	3	3	3	4	6	6	1	6	6	6
140	M	NL	DU	DU_in_NL	No	0				0	0	Yes	6	6	6	6	6.5	7	6	7	6.5	7	7	5	7	5	5	6	3	3	3	4	6	6	1	6	6	6
141	V	NL	NL	NL_in_NL	No	0				1	0	Yes	8.5	9	6	8	9	6.5	8	8.5	7	7	7.5	8	9	5	5	6	3	3	3	4	6	6	1	6	6	6
142	M	NL	DU	DU_in_NL	No	0				0	0	No	6.5	7	5	4	6	7	4	5	4	7	3	4.5	5	5	5	6	3	3	3	4	6	6	1	6	6	6
143	V	NL	DU	DU_in_NL	No	0				0	0	Yes	7.5	7	5	6	8.5	7	7.5	6.5	6.5	7	4	6.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
144	V	NL	NL	NL_in_NL	No	0	7.82	7	8	1	1	Yes	NA	8	8	7.5	7	7	8	8	4	7	7.5	7	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
145	V	NL	NL	NL_in_NL	No	0	6.33	6	7	0	0	Yes	6	6.5	6.5	6.5	6.5	NA	7	7.5	7.5	7	4.5	6	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
146	V	NL	DU	DU_in_NL	DuringYear1	1				0	0	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
148	V	NL	NL	NL_in_NL	AfterYear1	1	6.45	7	8	0	0	No	5	6.5	7	6.5	6	5	6	4.5	4	7	4.5	2	8	5	5	6	3	3	3	4	6	6	1	6	6	6
149	V	NL	DU	DU_in_NL	No	0				0	0	Yes	7	6.5	5	6	9	7	7	8	7.5	7	7	6	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
150	V	NL	NL	NL_in_NL	No	0	6.55	7	7	0	0	Yes	6	8.5	7	7	9	8	8	9	7	7	6	7.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
151	M	NL	DU	DU_in_NL	DuringYear1	1				0	0	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
152	V	NL	NL	NL_in_NL	No	0	6.36	6	7	0	0	Yes	6	6.5	5	4.5	8	7.5	7	7	7	7	4.5	6	7	5	5	6	3	3	3	4	6	6	1	6	6	6
153	M	NL	NL	NL_in_NL	No	0	6.64	6	8	0	0	Yes	6	6.5	6.5	7	8.5	5	6.5	7.5	7	7	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6
154	V	NL	NL	NL_in_NL	No	0	6.45	7	7	0	0	Yes	6.5	8	7	7.5	8.5	7	8.5	8	7	7	6.5	8	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
155	V	NL	NL	NL_in_NL	No	0	6.60	6	7	0	0	Yes	6	7.5	5	6.5	8.5	7	7.5	7	7	7	6	6.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
156	V	NL	DU	DU_in_NL	No	0				0	0	Yes	7	8.5	5	7.5	8.5	6.5	7	8.5	7	7	7	7.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
157	V	NL	NL	NL_in_NL	No	0	6.27	7	6	0	0	Yes	8.5	7.5	7.5	6.5	6.5	7.5	7	8	7.5	7	4.5	6.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
158	V	NL	DU	DU_in_NL	No	0				0	0	Yes	7.5	6.5	4	7	7	6.5	6	6.5	4	7	4.5	6	7	5	5	6	3	3	3	4	6	6	1	6	6	6
159	V	NL	DU	DU_in_NL	No	0				0	0	Yes	7	8	7.5	7.5	8.5	7	8	9	8	7	7	8.5	9.5	5	5	6	3	3	3	4	6	6	1	6	6	6
160	V	NL	NL	NL_in_NL	No	0	6.00	6	6	0	0	Yes	7.5	8	8.5	6.5	NA	NA	7.5	8	7.5	7	NA	NA	7	5	5	6	3	3	3	4	6	6	1	6	6	6
161	V	NL	DU	DU_in_NL	No	0				0	0	Yes	6.5	8	8.5	6	6	7	6	8.5	8	7	7.5	9	9	5	5	6	3	3	3	4	6	6	1	6	6	6
162	M	NL	NL	NL_in_NL	AfterYear1	1	6.27	6	6	0	0	No	4	6	5	4	6.5	4	7.5	5	4	NA	4.5	NA	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
163	V	NL	NL	NL_in_NL	No	0	7.55	7	8	0	0	Yes	8	8.5	8.5	8.5	7.5	8	9	8.5	7.5	7	7.5	8.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
164	V	NL	NL	NL_in_NL	No	0	7.50	7	8	0	0	Yes	7.5	6.5	7.5	7	7.5	7	8.5	9	7	7	7	7.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
165	V	NL	NL	NL_in_NL	No	0	6.58	6	6	0	0	No	6	4	4	4	6	7.5	6	8	7	7	6	4.5	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
166	V	NL	NL	NL_in_NL	No	0	8.15	7	8	0	0	Yes	9	9	8	9	8.5	7.5	8.5	9.5	7.5	7	9	9.5	9	5	5	6	3	3	3	4	6	6	1	6	6	6
167	V	NL	DU	DU_in_NL	AfterYear1	1				0	0	Yes	8	9.5	8	8.5	8.5	7	8	9	7.5	7	9	8	9	5	5	6	3	3	3	4	6	6	1	6	6	6
168	V	NL	NL	NL_in_NL	No	0	6.55	6	6	0	0	Yes	6	8	6.5	7	6	7.5	8.5	9	7	7	7.5	8	9	5	5	6	3	3	3	4	6	6	1	6	6	6
169	V	NL	NL	NL_in_NL	DuringYear1	1	6.33	6	6	0	0	No	5	2.5	5	3.5	6.5	NA	4.5	NA	NA	NA	3	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
170	V	NL	NL	NL_in_NL	No	0	7.27	7	7	0	0	Yes	7.5	8.5	7.5	7	8.5	8.5	9	9	7.5	7	7.5	7.5	9	5	5	6	3	3	3	4	6	6	1	6	6	6
171	M	NL	NL	NL_in_NL	No	0	6.20	6	6	0	0	Yes	6	7.5	5	6.5	6.5	6.5	7.5	6	7	7	5	6.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
172	V	NL	DU	DU_in_NL	AfterYear1	1				0	0	No	6.5	6	4	3.5	7.5	6.5	6	3.5	4	7	6	6	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
173	V	NL	DU	DU_in_NL	AfterYear1	1				0	0	Yes	7.5	8	8.5	6	7	4	7.5	7.5	NA	7	6	6.5	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
174	V	NL	NL	NL_in_NL	No	0	6.56	6	7	0	0	Yes	6.5	8	8	7.5	9	8	9	8.5	7.5	7	7	6.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
175	V	NL	NL	NL_in_NL	No	0	6.36	6	6	0	0	No	5	7.5	7.5	5	7.5	6.5	6	6.5	6.5	7	4.5	4	8	5	5	6	3	3	3	4	6	6	1	6	6	6
176	V	NL	DU	DU_in_NL	No	0				0	0	Yes	6	6	7	6	7.5	7	6.5	8	6.5	7	5	4.5	6	5	5	6	3	3	3	4	6	6	1	6	6	6
177	V	NL	NL	NL_in_NL	No	0	6.36	6	6	0	0	Yes	6	6.5	5	6.5	6.5	6	6.5	8	7	7	4.5	6	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
178	V	NL	NL	NL_in_NL	No	0	6.50	7	7	0	0	Yes	6	7	7	7.5	8	7	8	7	7.5	7	6.5	6.5	7	5	5	6	3	3	3	4	6	6	1	6	6	6
179	V	NL	NL	NL_in_NL	No	0	6.92	7	6	0	0	Yes	8.5	8	7	7.5	6.5	7.5	8	8.5	7	7	7.5	7	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
180	V	NL	NL	NL_in_NL	DuringYear1	1	6.27	6	6	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
181	V	NL	NL	NL_in_NL	No	0	6.64	7	8	0	0	No	5	6	5	2.5	9.5	6.5	6.5	8	4	NA	5	4.5	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
182	V	NL	NL	NL_in_NL	No	0	6.31	6	6	0	0	Yes	7	6	7.5	6.5	7	7.5	6.5	7	7	7	6	6	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
183	V	NL	DU	DU_in_NL	No	0				0	0	Yes	6.5	8.5	7.5	8	7	7.5	8	8	7.5	7	7.5	6.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
184	V	NL	DU	DU_in_NL	DuringYear1	1				0	0	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
185	M	NL	NL	NL_in_NL	No	0	6.10	6	6	0	0	Yes	6.5	7.5	7.5	7.5	6.5	8	7	8	6.5	7	7.5	8	8	5	5	6	3	3	3	4	6	6	1	6	6	6
186	M	NL	NL	NL_in_NL	No	0	6.25	6	7	0	0	Yes	7.5	7.5	7.5	6	7	6.5	8	7.5	6.5	7	6.5	6	7	5	5	6	3	3	3	4	6	6	1	6	6	6
