"SubjectCode"	"Gender"	"Track"	"Nationality"	"Group"	"DropOut"	"DropOutBinary"	"SchoolMean"	"SchoolDutch"	"SchoolEnglish"	"CoursesOutsideProgramme"	"Exemption"	"PassedBSA"	"EC_Obtained"	"Weighted_Grade"	"EC_Taken"	"Mean_Grade"	"LD"	"LS"	"LV"	"Course1_Grade"	"Course2_Grade"	"Course3_Grade"	"Course4_Grade"	"Course5_Grade"	"Course6_Grade"	"Course7_Grade"	"Course8_Grade"	"Course9_Grade"	"Course10_Grade"	"Course11_Grade"	"Course12_Grade"	"Course13_Grade"	"Course1_EC_Worth"	"Course2_EC_Worth"	"Course3_EC_Worth"	"Course4_EC_Worth"	"Course5_EC_Worth"	"Course6_EC_Worth"	"Course7_EC_Worth"	"Course8_EC_Worth"	"Course9_EC_Worth"	"Course10_EC_Worth"	"Course11_EC_Worth"	"Course12_EC_Worth"	"Course13_EC_Worth"	"Course1_EC_Obtained"	"Course2_EC_Obtained"	"Course3_EC_Obtained"	"Course4_EC_Obtained"	"Course5_EC_Obtained"	"Course6_EC_Obtained"	"Course7_EC_Obtained"	"Course8_EC_Obtained"	"Course9_EC_Obtained"	"Course10_EC_Obtained"	"Course11_EC_Obtained"	"Course12_EC_Obtained"	"Course13_EC_Obtained"	"Course1_Weighted"	"Course2_Weighted"	"Course3_Weighted"	"Course4_Weighted"	"Course5_Weighted"	"Course6_Weighted"	"Course7_Weighted"	"Course8_Weighted"	"Course9_Weighted"	"Course10_Weighted"	"Course11_Weighted"	"Course12_Weighted"	"Course13_Weighted"	"Course1_Passed"	"Course2_Passed"	"Course3_Passed"	"Course4_Passed"	"Course5_Passed"	"Course6_Passed"	"Course7_Passed"	"Course8_Passed"	"Course9_Passed"	"Course10_Passed"	"Course11_Passed"	"Course12_Passed"	"Course13_Passed"
116	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.3	6	7	1	0	"No"	34	334	60	5.56666666666667	NA	NA	NA	6	4.5	7	5	6	7.5	6	3.5	4	7	4.5	6.5	7	5	5	6	3	3	3	4	6	6	1	6	6	6	5	0	6	0	3	3	4	0	0	1	0	6	6	30	22.5	42	15	18	22.5	24	21	24	7	27	39	42	1	0	1	0	1	1	1	0	0	1	0	1	1
117	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6	6	6	1	0	"Yes"	60	404	60	6.73333333333333	NA	NA	NA	6	6	7	6	8	8	7	7.5	7	7	6	6	7	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	30	30	42	18	24	24	28	45	42	7	36	36	42	1	1	1	1	1	1	1	1	1	1	1	1	1
118	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	469.5	60	7.825	NA	NA	NA	6	8.5	7	8.5	8	7.5	7.5	8	7.5	7	8	9	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	30	42.5	42	25.5	24	22.5	30	48	45	7	48	54	51	1	1	1	1	1	1	1	1	1	1	1	1	1
119	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.62	7	6	0	0	"Yes"	54	399.5	60	6.65833333333333	NA	NA	NA	6.5	6	7.5	7.5	6	7.5	7.5	7.5	7	7	6	5	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	0	6	32.5	30	45	22.5	18	22.5	30	45	42	7	36	30	39	1	1	1	1	1	1	1	1	1	1	1	0	1
120	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.83	6	7	1	0	"Yes"	60	396.5	60	6.60833333333333	NA	NA	NA	6.5	8	6.5	6.5	6.5	6	6.5	6.5	6.5	7	6	6.5	7	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	32.5	40	39	19.5	19.5	18	26	39	39	7	36	39	42	1	1	1	1	1	1	1	1	1	1	1	1	1
121	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.58	6	6	0	0	"Yes"	54	390	60	6.5	0.426666666666667	0.17	16.92	6	6	6.5	6.5	6.5	7	6.5	8.5	7	7	3.5	6.5	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	0	6	6	30	30	39	19.5	19.5	21	26	51	42	7	21	39	45	1	1	1	1	1	1	1	1	1	1	0	1	1
122	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.7	7	6	0	0	"Yes"	54	409	60	6.81666666666667	NA	NA	NA	7.5	7	5	6.5	7.5	7.5	7	7	6.5	7	6	7	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	3	3	3	4	6	6	1	6	6	6	37.5	35	30	19.5	22.5	22.5	28	42	39	7	36	42	48	1	1	0	1	1	1	1	1	1	1	1	1	1
123	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	54	429.5	60	7.15833333333333	0.47	0.136666666666667	17.6466666666667	6	8	5	8.5	6	8	7.5	8	7.5	7	7	7	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	3	3	3	4	6	6	1	6	6	6	30	40	30	25.5	18	24	30	48	45	7	42	42	48	1	1	0	1	1	1	1	1	1	1	1	1	1
124	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	54	430	60	7.16666666666667	0.506666666666667	0.123333333333333	16.32	7	8.5	8	6.5	6	8	8	7.5	7	7	5	6.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	0	6	6	35	42.5	48	19.5	18	24	32	45	42	7	30	39	48	1	1	1	1	1	1	1	1	1	1	0	1	1
125	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6	6	7	1	0	"No"	13	153	29	5.27586206896552	NA	NA	NA	6.5	6	4	5	6.5	4	5	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	0	3	0	0	0	0	0	0	0	0	32.5	30	24	15	19.5	12	20	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
126	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	8	8	7	0	0	"Yes"	60	488.5	60	8.14166666666667	0.543333333333333	0.193333333333333	17.7133333333333	6.5	8	7	8.5	9.5	8	8.5	9	8	7	7	9.5	9	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	32.5	40	42	25.5	28.5	24	34	54	48	7	42	57	54	1	1	1	1	1	1	1	1	1	1	1	1	1
127	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.58	7	7	1	1	"Yes"	54	433	54	8.01851851851852	NA	NA	NA	7	8.5	8	7	9.5	8	8	NA	8	7	8	8.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	0	6	1	6	6	6	35	42.5	48	21	28.5	24	32	0	48	7	48	51	48	1	1	1	1	1	1	1	0	1	1	1	1	1
128	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"DuringYear1"	1	6.17	7	6	0	0	"No"	4	51	9	5.66666666666667	NA	NA	NA	5	NA	NA	NA	NA	NA	6.5	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	0	0	0	0	0	0	4	0	0	0	0	0	0	25	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
