SubjectCode,grade_oct,grade_feb,grade_apr
651,10.0,0.0,10.0
652,10.0,10.0,0.0
653,10.0,10.0,10.0
654,6.0,0.0,10.0
656,10.0,3.0,2.0
659,10.0,10.0,10.0
660,8.0,10.0,10.0
662,6.0,0.0,0.0
663,6.0,10.0,6.0
664,10.0,0.0,10.0
665,10.0,7.0,10.0
668,2.0,0.0,0.0
671,6.0,0.0,0.0
675,10.0,3.0,10.0
678,10.0,10.0,10.0
680,6.0,0.0,2.0
693,10.0,10.0,2.0
696,5.0,10.0,6.0
697,10.0,10.0,10.0
698,10.0,10.0,10.0
699,6.0,10.0,10.0
700,4.0,7.0,4.0
702,10.0,0.0,10.0
703,6.0,10.0,10.0
705,0.0,10.0,0.0
706,0.0,10.0,0.0
707,0.0,0.0,0.0
710,2.0,7.0,10.0
713,10.0,10.0,6.0
714,6.0,10.0,10.0
715,10.0,0.0,10.0
716,8.0,0.0,10.0
723,10.0,10.0,10.0
724,10.0,10.0,10.0
725,10.0,10.0,10.0
726,6.0,3.0,2.0
727,5.0,10.0,2.0
728,6.0,3.0,0.0
730,10.0,0.0,0.0
733,10.0,3.0,10.0
735,0.0,10.0,0.0
737,7.0,3.0,10.0
737,4.0,3.0,10.0
739,10.0,0.0,6.0
742,10.0,10.0,10.0
743,2.0,10.0,6.0
744,7.0,0.0,6.0
747,2.0,0.0,0.0
749,6.0,10.0,10.0
752,10.0,10.0,10.0
753,10.0,10.0,10.0
754,10.0,10.0,10.0
756,10.0,10.0,10.0
758,6.0,0.0,10.0
759,10.0,10.0,2.0
760,6.0,7.0,10.0
762,10.0,7.0,10.0
763,8.0,10.0,0.0
766,10.0,0.0,6.0
767,6.0,10.0,10.0
769,7.0,10.0,10.0
772,6.0,10.0,6.0
775,10.0,0.0,10.0
776,10.0,3.0,10.0
777,10.0,3.0,10.0
779,10.0,10.0,10.0
780,10.0,10.0,10.0
784,6.0,10.0,6.0
785,10.0,3.0,10.0
787,6.0,10.0,0.0
789,10.0,0.0,10.0
790,10.0,10.0,10.0
792,7.0,10.0,10.0
794,10.0,10.0,10.0
795,10.0,10.0,10.0
796,6.0,10.0,10.0
798,10.0,10.0,6.0
801,10.0,10.0,10.0
808,10.0,10.0,10.0
810,5.0,0.0,0.0
811,10.0,0.0,0.0
815,7.0,10.0,10.0
816,8.0,3.0,10.0
818,6.0,0.0,2.0
820,10.0,3.0,10.0
824,8.0,10.0,10.0
826,10.0,10.0,10.0
827,10.0,10.0,2.0
829,6.0,10.0,10.0
830,8.0,7.0,10.0
833,10.0,10.0,10.0
835,6.0,10.0,6.0
837,7.0,3.0,10.0
838,6.0,0.0,2.0
841,10.0,10.0,10.0
843,0.0,10.0,0.0
846,10.0,10.0,10.0
847,10.0,10.0,10.0
849,10.0,10.0,0.0
850,8.0,10.0,10.0
853,6.0,7.0,6.0
854,6.0,10.0,10.0
855,0.0,10.0,10.0
856,8.0,10.0,6.0
858,10.0,10.0,6.0
860,6.0,3.0,10.0
862,10.0,10.0,10.0
863,2.0,0.0,6.0
865,0.0,0.0,0.0
867,8.0,10.0,10.0
868,10.0,3.0,10.0
869,10.0,10.0,0.0
872,0.0,0.0,0.0
875,6.0,10.0,10.0
878,10.0,10.0,10.0
881,10.0,10.0,10.0
884,10.0,10.0,10.0
889,6.0,0.0,10.0
890,10.0,10.0,10.0
893,10.0,7.0,10.0
897,0.0,10.0,10.0
898,6.0,10.0,10.0
899,5.0,7.0,0.0
905,10.0,0.0,6.0
906,10.0,10.0,6.0
907,10.0,0.0,2.0
908,8.0,10.0,6.0
910,10.0,10.0,10.0
911,6.0,10.0,10.0
913,6.0,0.0,10.0
914,10.0,7.0,10.0
915,0.0,10.0,2.0
916,10.0,10.0,10.0
917,8.0,10.0,10.0
919,6.0,3.0,6.0
921,0.0,10.0,10.0
922,10.0,3.0,0.0
