"SubjectCode"	"Gender"	"Track"	"Nationality"	"Group"	"DropOut"	"DropOutBinary"	"SchoolMean"	"SchoolDutch"	"SchoolEnglish"	"CoursesOutsideProgramme"	"Exemption"	"PassedBSA"	"EC_Obtained"	"Weighted_Grade"	"EC_Taken"	"Mean_Grade"	"wordtokens_oct"	"ld_oct"	"ls2_oct"	"ndwesz_oct"	"wordtokens_feb"	"ld_feb"	"ls2_feb"	"ndwesz_feb"	"wordtokens_apr"	"ld_apr"	"ls2_apr"	"ndwesz_apr"	"grade_oct"	"grade_feb"	"grade_apr"
237	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.92	7	7	0	0	"Yes"	54	435	60	7.25	124	0.54	0.17	18.39	87	0.51	0.22	16.74	68	0.57	0.11	17.75	10	10	10
240	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	432.5	60	7.20833333333333	46	0.59	0.28	15.86	71	0.44	0.1	16.99	40	0.53	0.2	17.15	6	10	10
241	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	NA	NA	NA	0	0	"Yes"	57	431.5	60	7.19166666666667	53	0.49	0.08	18.35	119	0.53	0.12	15.96	37	0.54	0.21	16.13	6	10	10
242	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.62	6	6	0	0	"Yes"	60	422.5	60	7.04166666666667	39	0.62	0.16	16.9	45	0.51	0.21	17.51	48	0.54	0.13	18.62	5	0	10
243	"M"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	48	364	60	6.06666666666667	28	0.46	0.4	15.44	83	0.52	0.37	16.8	98	0.51	0.25	17.18	0	0	10
246	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.1	7	7	0	0	"Yes"	60	435	60	7.25	128	0.59	0.16	17.86	83	0.47	0.09	16.62	50	0.5	0.15	17.82	10	3	10
248	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	438.5	60	7.30833333333333	84	0.61	0.14	16.28	128	0.49	0.19	16.67	94	0.54	0.14	17.87	6	7	10
249	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.58	6	7	0	0	"Yes"	53	440	59	7.45762711864407	95	0.56	0.17	17.41	101	0.5	0.34	17.05	71	0.66	0.06	18.03	8	10	10
251	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.45	7	5	0	0	"Yes"	60	456.5	60	7.60833333333333	53	0.64	0.15	17.38	103	0.53	0.13	17.07	37	0.43	0.12	16.4	5	10	10
252	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	54	386	60	6.43333333333333	106	0.4	0.14	18.37	98	0.46	0.19	17	39	0.49	0.15	17.7	5	3	10
253	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.64	7	8	0	0	"Yes"	57	448	60	7.46666666666667	71	0.49	0.27	17.82	68	0.53	0.19	17.84	55	0.58	0.17	18.37	8	10	10
254	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.4	6	7	0	0	"No"	40	374	60	6.23333333333333	68	0.59	0.17	18.82	111	0.47	0.08	17.45	48	0.6	0.11	16.74	0	0	10
256	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.42	7	6	0	0	"Yes"	60	477	60	7.95	79	0.54	0.17	17.88	104	0.51	0.14	16.1	41	0.51	0.15	18.82	8	10	10
258	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.58	6	6	0	0	"Yes"	54	396.5	60	6.60833333333333	47	0.57	0.22	15.63	61	0.48	0.23	16.18	49	0.49	0.29	16.28	6	10	6
260	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7	7	8	0	0	"Yes"	54	440.5	60	7.34166666666667	99	0.55	0.24	16.95	112	0.47	0.2	17.64	51	0.57	0.32	19.01	6	0	2
261	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.18	7	7	0	0	"Yes"	60	462.5	60	7.70833333333333	62	0.5	0.15	16.03	95	0.48	0.13	16.31	72	0.54	0.25	18.28	6	10	10
263	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.36	7	8	0	0	"Yes"	60	455.5	60	7.59166666666667	62	0.56	0.17	16.83	115	0.51	0.14	17.45	62	0.55	0.19	18.71	6	10	10
264	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.42	6	7	0	0	"Yes"	60	476	60	7.93333333333333	36	0.53	0.21	18.25	111	0.52	0.23	16.86	33	0.42	0.15	17.5	6	7	10
265	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.55	5	6	0	0	"Yes"	57	452.5	60	7.54166666666667	115	0.54	0.22	17.46	116	0.5	0.1	17.35	66	0.55	0.13	18.01	8	10	10
266	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.11	6	5	0	0	"Yes"	60	418	60	6.96666666666667	38	0.66	0.15	16.21	133	0.51	0.18	16.24	63	0.54	0.19	18.29	2	10	10
272	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	54	414.5	60	6.90833333333333	90	0.47	0.12	17.01	56	0.46	0.2	17.11	52	0.63	0.24	18.36	6	0	10
273	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.67	6	8	0	0	"Yes"	60	430.5	60	7.175	123	0.5	0.15	18.66	96	0.52	0.12	17.9	50	0.52	0.25	18.27	10	10	10
274	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	54	407.5	60	6.79166666666667	105	0.53	0.23	18.29	72	0.47	0.2	17.82	55	0.56	0.18	18.14	10	7	6
275	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	460.5	60	7.675	93	0.56	0.19	16.91	109	0.47	0.14	17.45	78	0.56	0.19	18.19	8	7	10
276	"M"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	414	60	6.9	85	0.54	0.15	18.36	87	0.53	0.19	17.32	43	0.42	0.06	17.28	8	10	0
277	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.7	7	6	0	0	"Yes"	60	472.5	60	7.875	59	0.58	0.23	16.29	100	0.53	0.19	16.36	57	0.49	0.21	15.09	6	10	6
278	"M"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	57	391	60	6.51666666666667	57	0.58	0.16	18.07	119	0.55	0.16	14.87	50	0.5	0.14	17.06	6	10	2
279	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7	7	6	0	0	"Yes"	55	399	60	6.65	31	0.68	0.21	14.18	108	0.54	0.24	17.29	42	0.57	0.13	16.82	6	0	10
281	"M"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	57	388.5	60	6.475	75	0.49	0.14	17.62	72	0.58	0.23	17.05	54	0.5	0.07	18.02	6	7	10
282	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.18	6	7	0	0	"Yes"	54	448	60	7.46666666666667	105	0.59	0.16	17.87	68	0.47	0.2	16.76	45	0.51	0.38	16.36	10	7	10
285	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.67	6	6	0	0	"Yes"	49	393	60	6.55	57	0.49	0.19	16.79	71	0.51	0.13	16.57	40	0.6	0.18	18.69	6	10	10
287	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.7	7	8	0	0	"Yes"	54	409.5	60	6.825	31	0.65	0.17	17.71	73	0.52	0.21	18.77	20	0.6	0.25	20	5	10	2
290	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.31	7	8	0	0	"Yes"	54	428.5	60	7.14166666666667	59	0.56	0.18	18.13	110	0.49	0.18	16.15	50	0.64	0.21	17.75	6	10	10
291	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.92	6	7	0	0	"Yes"	60	495	60	8.25	56	0.48	0.14	17.14	98	0.5	0.08	17.68	44	0.52	0.11	18.39	6	10	10
292	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	7	7	7	0	0	"Yes"	60	450	60	7.5	149	0.5	0.16	17.44	114	0.54	0.18	16.66	71	0.51	0.18	17.05	10	10	0
293	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.64	7	7	0	0	"Yes"	60	447	60	7.45	63	0.57	0.28	16.93	109	0.51	0.23	17.61	71	0.56	0.12	17.14	6	10	10
295	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.18	6	6	0	0	"Yes"	44	396	59	6.71186440677966	59	0.59	0.16	16.32	113	0.44	0.28	17.6	60	0.5	0.16	17.45	6	10	10
297	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.94	7	7	0	0	"Yes"	60	428	60	7.13333333333333	53	0.62	0.21	17.87	91	0.51	0.22	17.06	52	0.58	0.17	17.66	6	0	10
