SubjectCode,Gender,Track,Natio1,TrackNatio1,DropOut,DropOutBinary,SchoolMean,SchoolDutch,SchoolEnglish,CoursesOutsideProgramme,Exemption,PassedBSA,Course1_Grade,Course2_Grade,Course3_Grade,Course4_Grade,Course5_Grade,Course6_Grade,Course7_Grade,Course8_Grade,Course9_Grade,Course10_Grade,Course11_Grade,Course12_Grade,Course13_Grade,Course1_EC_Worth,Course2_EC_Worth,Course3_EC_Worth,Course4_EC_Worth,Course5_EC_Worth,Course6_EC_Worth,Course7_EC_Worth,Course8_EC_Worth,Course9_EC_Worth,Course10_EC_Worth,Course11_EC_Worth,Course12_EC_Worth,Course13_EC_Worth,wordtokens_oct,ld_oct,ls2_oct,ndwesz_oct,wordtokens_feb,ld_feb,ls2_feb,ndwesz_feb,wordtokens_apr,ld_apr,ls2_apr,ndwesz_apr
137,V,NL,NL,NL_in_NL,No,0,6.09,6.0,6,1,0,Yes,6.5,8.5,8.5,7.0,9.5,7.5,8.0,8.0,7.0,7.0,7.5,8.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,203.0,0.56,0.23,18.52,161.0,0.51,0.12,16.61,57.0,0.51,0.12,18.0
138,V,NL,NL,NL_in_NL,AfterYear1,1,6.83,6.0,6,0,0,Yes,6.0,7.5,7.0,7.5,9.5,6.5,6.0,7.0,4.0,7.0,6.0,6.0,7.0,5,5,6,3,3,3,4,6,6,1,6,6,6,45.0,0.51,0.26,17.47,108.0,0.55,0.11,16.77,47.0,0.45,0.28,16.11
141,V,NL,NL,NL_in_NL,No,0,,,,1,0,Yes,8.5,9.0,6.0,8.0,9.0,6.5,8.0,8.5,7.0,7.0,7.5,8.0,9.0,5,5,6,3,3,3,4,6,6,1,6,6,6,54.0,0.52,0.17,17.47,74.0,0.5,0.2,16.87,35.0,0.54,0.14,18.56
145,V,NL,NL,NL_in_NL,No,0,6.33,6.0,7,0,0,Yes,6.0,6.5,6.5,6.5,6.5,,7.0,7.5,7.5,7.0,4.5,6.0,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,39.0,0.54,0.25,15.14,67.0,0.52,0.24,17.57,46.0,0.63,0.22,17.4
148,V,NL,NL,NL_in_NL,AfterYear1,1,6.45,7.0,8,0,0,No,5.0,6.5,7.0,6.5,6.0,5.0,6.0,4.5,4.0,7.0,4.5,2.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,83.0,0.54,0.19,18.24,86.0,0.49,0.09,16.39,54.0,0.48,0.17,18.31
150,V,NL,NL,NL_in_NL,No,0,6.55,7.0,7,0,0,Yes,6.0,8.5,7.0,7.0,9.0,8.0,8.0,9.0,7.0,7.0,6.0,7.5,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,73.0,0.59,0.2,16.95,96.0,0.51,0.14,17.43,37.0,0.65,0.21,17.06
152,V,NL,NL,NL_in_NL,No,0,6.36,6.0,7,0,0,Yes,6.0,6.5,5.0,4.5,8.0,7.5,7.0,7.0,7.0,7.0,4.5,6.0,7.0,5,5,6,3,3,3,4,6,6,1,6,6,6,31.0,0.55,0.3,16.6,80.0,0.54,0.15,16.66,53.0,0.53,0.07,17.48
154,V,NL,NL,NL_in_NL,No,0,6.45,7.0,7,0,0,Yes,6.5,8.0,7.0,7.5,8.5,7.0,8.5,8.0,7.0,7.0,6.5,8.0,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,86.0,0.53,0.15,18.22,119.0,0.53,0.13,17.8,85.0,0.49,0.09,17.61
155,V,NL,NL,NL_in_NL,No,0,6.6,6.0,7,0,0,Yes,6.0,7.5,5.0,6.5,8.5,7.0,7.5,7.0,7.0,7.0,6.0,6.5,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,22.0,0.41,0.18,20.0,97.0,0.44,0.32,17.6,65.0,0.48,0.2,18.08
156,V,NL,DU,DU_in_NL,No,0,,,,0,0,Yes,7.0,8.5,5.0,7.5,8.5,6.5,7.0,8.5,7.0,7.0,7.0,7.5,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,96.0,0.54,0.22,18.21,90.0,0.51,0.17,17.0,52.0,0.52,0.24,17.43
